subject,relation,object
Sylvia de Neymet,given name,Silvia
Eleonora Armitage,member of,Royal Horticultural Society
Tagarrosa,located in the administrative territorial entity,Melgar de Fernamental
Jeff Sonhouse,has works in the collection,The Nelson-Atkins Museum of Art
Diablada,subclass of,dance
The Nowhere Inn,cast member,Carrie Brownstein
Chechens,native language,Russian
World Headquarters of the Bektashi,located in the administrative territorial entity,Tirana
escape velocity,symbol represents,distance
Francina Susanna Louw,country of citizenship,South Africa
Afruz Amighi,country of citizenship,Iran
Stella W. Pang,academic degree,Master of Science
Clickbait,country of origin,Australia
Silicon Avatar,set in environment,cave
Jeff Sonhouse,has works in the collection,Nasher Museum of Art
Menudo,has part,Ricky Meléndez
The Price Is Right,object has role,announcer
God of War Ragnarök,object has role,trailer
Industry and Business Party,instance of,political party
Oseleta,country,Italy
Diyalo Bangala,instance of,palace
The Last Letter from Your Lover,country of origin,United Kingdom
Okreč,instance of,village
Sunset and Sunrise,cast member,Rushdy Abaza
Despite Everything,review score by,Rotten Tomatoes
Henry Temple 3rd Viscount Palmerston,replaced by,William Ewart Gladstone
God of War Ragnarök,voice actor,Robert Craighead
St Catherine'S Convent School,instance of,combined school
2017 Washington Nationals season,head coach,Dusty Baker
Teckla Juel,sibling,Fanny Suenssen
Yevgeny Zinichev,place of death,Norilsk
Varangians,subclass of,Scandinavians
Royal Netherlands Air Force,language of work or name,Dutch
Edgar Degas,object has role,friend
Chubby Checker,family name,Evans
Stephen Barclay,position held,Minister for the Cabinet Office
Auton trilogy,media franchise,Doctor Who
Giuseppe Cassella,given name,Pietro
Dominic Raab,position held,Minister of State for Housing
Menudo,has part,Miguel Cancel
The Black Island,characters,Tintin
Krista Fischer,country of citizenship,Estonia
Hubert Patrick O'Connor,convicted of,rape
Friedrich Engels,native language,Russian
Fiona A. White,occupation,psychologist
Ukrainian world,main subject,Ukraine
Jocelyn Bell Burnell,award received,Copley Medal
John Chalmers,occupation,medical researcher
lawn,use,landscaping
Pavel Starostin,country of citizenship,Estonia
Oboy,language of work or name,French
Kwantlen Polytechnic University,object has role,campus
Siberia,shares border with,Central Asia
Alexander Isak,country for sport,Sweden
Narendra Modi,located in the administrative territorial entity,Gujarat
R. Achmad Rivai,languages spoken written or signed,Indonesian
Torrecilla,located in the administrative territorial entity,Sotorribas
Kylie Minogue,country of citizenship,Australia
Doğan Kuban,language of work or name,Turkish
God of War Ragnarök,character role,Odin
Wyoming Highway 24,direction,east
Rogue,kinship to subject,foster mother
Louise Hegermann-Lindencrone,given name,Frederikke
Marek Wietecki,languages spoken written or signed,Polish
Jean Fleming,occupation,scientist
Louis IX of France,occupation,monarch
Gwen John,occupation,artist
Robert Stewart Viscount Castlereagh,electoral district,Down
Home on the Range,performer,Vikingarna
Andrea Tommasi,languages spoken written or signed,French
Levantine Arabic,influenced by,Modern Standard Arabic
Jalisco,contains administrative territorial entity,Puerto Vallarta
Mount Rushmore,made from material,granite
Jalisco,shares border with,Colima
Honoré Daumier,movement,realism
MixRadio,distributed by,App Store
My Tears Ricochet,genre,gospel music
Menudo,replaces,Ricky Meléndez
Brenntag,part of,DAX
George Longfish,employer,University of California Davis
Simu Liu,for work,Blood and Water
Henry Barkly,occupation,botanical collector
The Little Mermaid,set in environment,castle
Gong Yuzhi,occupation,politician
Colombia national football team,review score by,FIFA
Ora,owned by,Great Wall Motors
Novaya Gazeta,instance of,newspaper
Lee Geum-min,place of birth,South Korea
Romy Schneider,given name,Magdalena
Yves Perron,electoral district,Berthier—Maskinongé
The Artful Escape,voice actor,Michael Johnston
Wadi Rum,instance of,protected area
The Matrix Resurrections,cast member,Priyanka Chopra
Imre Aranyos,place of birth,Hungary
Fanny Suenssen,sibling,Teckla Juel
Julia R. Anagnos,given name,Romana
Syldavia,present in work,Explorers on the Moon
Mayuli Martínez Simón,occupation,politician
Mariinsky Ballet,language of work or name,Russian
Dadagavialis,parent taxon,Gryposuchinae
The Mickey Mouse Club,color,color
Gulf Intracoastal Waterway,located in the administrative territorial entity,Alabama
Eden Karzev,country,Israel
David Najem,country of citizenship,Afghanistan
escape velocity,symbol represents,gravitational constant
A. K. Bell Library,instance of,former hospital
Dwika Tjahja Setiawan,languages spoken written or signed,Indonesian
Drew Fortier,member of,The Lucid
Jordan Hallam,place of birth,Sheffield
Sophie Frederikke Louise Charlotte Reventlow,noble title,countess
list of The Mandalorian characters,media franchise,Star Wars
Marthe Mercadier,medical condition,Alzheimer's disease
The H-Man,set in environment,ship
Miley Cyrus,place of birth,Nashville
bitcoin,instance of,currency
Dieter Oesterhelt,member of,Max Planck Society
Syed Ali Shah Geelani,languages spoken written or signed,Urdu
Broken Circle / Spiral Hill,made from material,sand
Gary Holton,member of,Heavy Metal Kids
Ukraїner,language of work or name,Polish
Eternals,cast member,Harish Patel
Lando Norris,sport,Formula One
Empress Sunmyeong,family name,Min
Clive Sinclair,significant event,Sinclair Radionics
Ianis Hagi,languages spoken written or signed,Romanian
Esther Manheimer,place of birth,Skyum Bjerge
Unstoppable,set in environment,train
Despite Everything,stated in,Rotten Tomatoes
Space Jam,main subject,basketball
Michael K. Williams,place of death,New York City
Kenneth Victor Young,place of burial,Arlington National Cemetery
Menashe Zemro,place of birth,Gondar
European Robotic Arm,connects with,Nauka
Fred Rose,occupation,record producer
Kwantlen Polytechnic University,has parts of the class,campus
Anuk Arudpragasam,languages spoken written or signed,Tamil
The Rebel,color,color
Kassia,work location,Byzantine Empire
Ali Kalora,languages spoken written or signed,Indonesian
Silas Molema,educated at,University of Glasgow
Cambodian rock,subclass of,rock music
Jordi López,languages spoken written or signed,Spanish
conscription,instance of,phase
Anant Dajikaka Gadgil,country of citizenship,India
Harry E. Soyster,academic major,engineer
Halakha,practiced by,rabbi
House of Ham,instance of,noble family
Pioneer Valley,located in the administrative territorial entity,Hampden County
Etrigan the Demon,present in work,Justice League
Eastern Orthodox Church,part of,Eastern Christian churches
What's My Line?,color,color
Stephen Uroš IV Dušan of Serbia,noble title,king
Gina Pacheco,place of birth,Sarnia
The Noises,located in the administrative territorial entity,Auckland Region
Will Bagley,place of birth,Salt Lake City
Shock Corridor,set in environment,psychiatric hospital
Leonor Espinoza,place of birth,Ate
Alexander Carlton Hodson,employer,University of Minnesota
Codex Boreelianus,instance of,manuscript
Durga Puja,language of work or name,Odia
homicide,language of work or name,Odia
Mexico,ethnic group,White Mexicans
Empress Myeongseong,place of death,Gyeongbokgung
Oleg Khlestov,occupation,diplomat
He-Ḥalutz,instance of,periodical
escape velocity,symbol represents,mass
Cédric Bah,participant in,AfroBasket 2021
The Nowhere Inn,distributed by,IFC Films
Jim Lovell,military rank,captain
Franziska Carlsen,place of birth,Gammel Køgegård
Dune,location,Sweden
Maggie Hassan,replaced by,Russell Prescott
Joe Rogan,medical condition,COVID-19
Dracophyllum kirkii,endemic to,New Zealand
Fanendo Adi,member of sports team,Minnesota United FC
Trance,set in environment,hospital
Empress Myeongseong,writing system,Hanja
Doja Cat,for work,Kiss Me More
Satoshi Hirayama,place of birth,Exeter
Salt Bae,work location,Istanbul
Sonic the Hedgehog,distribution format,direct-to-video
Jorge Osinde,occupation,military officer
Firefly Alpha,instance of,launch vehicle
Doja Cat,together with,SZA
Harun al-Rashid,instance of,caliph
Anna Chromý,country of citizenship,Czechoslovakia
Jirisan,distributed by,iQIYI
Ilah Marian Kibbey,place of death,Kansas City
Vajiralongkorn,languages spoken written or signed,Thai
Caio Zanardi,place of birth,Brazil
George Longfish,has works in the collection,Art Institute of Chicago
Ludwig Augustinsson,sibling,Jonathan Augustinsson
pottage,subclass of,stew
iTunes Store,operating system,Microsoft Windows
Roberto Colautti,country for sport,Israel
Vladimir Dubatolov,given name,Viktorovich
God of War Ragnarök,characters,Freya
Aleksander Kask,occupation,politician
Rosa 'Abbaye de Cluny',creator,Alain Meilland
Cinderella,cast member,Billy Porter
Joey Fatone,member of,NSYNC
Take No Prisoners,review score by,AllMusic
Tom Arnold,medical condition,autism
Phi Nhung,languages spoken written or signed,Vietnamese
Uncle Tom,screenwriter,Justin Malone
Toyota Tundra,subclass of,pickup truck
Queen Wongyeong,family name,Min
Dying Light 2 Stay Human,platform,Nintendo Switch
Jihadism,instance of,ideology
University of Ottawa,member of,Canadian Association of Research Libraries
Anatomy of a Murder,color,black and white
Blue Zone,subclass of,area
Codrin Ștefănescu,member of political party,Alliance for the Fatherland
Greg McLean,parliamentary group,Conservative Party of Canada
Mushfiqur Rahim,educated at,Bogra Zilla School
Last Night in Soho,cast member,Margaret Nolan
Zou Xuexiao,occupation,engineer
Natalio Perinetti,country for sport,Argentina
atogepant,instance of,medication
Kim Larsen,member of,Gasolin'
Vladimir Dubatolov,occupation,lepidopterist
Laura Macfarlane,member of,Ninetynine
Marek Ženíšek,residence,Plzeň
Chris Bittle,elected in,2021 Canadian federal election
Richard Lehoux,electoral district,Beauce
Mao Jingwen,employer,Chinese Academy of Geological Sciences
Achref Gannouni,participant in,AfroBasket 2021
Roberto Colautti,relative,Sagi Strauss
Mohsin Dawar,member of political party,National Democratic Movement
coconut jam,country of origin,Singapore
Lust for a Vampire,set in environment,castle
Elena Lilik,family name,Apel
Cecilia Wangechi Mwathi,place of birth,Gichira
Giulia Daneo Lorimer,residence,Scandicci
Kenneth Good,employer,University of Botswana
There's Someone Inside Your House,cast member,Sydney Park
XPeng P7,subclass of,mid-size car
Mickey Maguire,performer,Ciarán Griffiths
Amy B. Heimberger,occupation,neurosurgeon
2019 Canadian federal election,candidate,New Democratic Party
Collados,located in the administrative territorial entity,Sotorribas
Gilbert O'Sullivan,notable work,Alone Again (Naturally)
A38 road,located in the administrative territorial entity,Cornwall
Santiago Cafiero,replaced by,Juan Manzur
United 93,set in environment,aircraft
Karen M. Brucks,educated at,University of North Texas
Antonia Lloyd-Jones,languages spoken written or signed,Polish
The Artful Escape,voice actor,Lena Headey
The Elder Sister-like One,publisher,Yen Press
2021 Russian legislative election,candidate,A Just Russia
Queen Inheon,family name,Gu
pasta,made from material,flour
Angela Merkel,part of,First Merkel cabinet
North Asia,said to be the same as,Siberia
Royal Consort Huibin Jang,father,Jang Hyeong
Federigo Zuccari,end cause,death
Liudmila Samsonova,languages spoken written or signed,Italian
Harry E. Soyster,educated at,University of Southern California
Aníbal Fernández,position held,Minister of Security
Kenneth Victor Young,military branch,United States Navy
Ante Rebić,country for sport,Croatia
devşirme,subclass of,eunuch
Dune,location,Russia
Álex dos Santos,place of birth,Xinguara
Yevgeny Zinichev,replaces,Nikolay Tsukanov
Warren Storm,occupation,drummer
2020 WWE Draft,sport,professional wrestling
İzmit Belediyespor,competition class,women's basketball
sexism,different from,sex discrimination
Konrad Krez,native language,German
Hadi Sacko,member of sports team,CFR Cluj
Robert Price,occupation,artist
Manuel Soares Costa,place of birth,Lisbon
Temple of Vesta,located in the administrative territorial entity,Rome
Albert Pinhasov,country of citizenship,Israel
Klára Cvrčková,place of birth,Prague
Nasiruddin Khakwani,replaces,Abdur Razzaq Iskander
John Galvin,academic degree,Master of Arts
Queen Hyosun,writing system,Hanja
Herod the Great,work location,Judea
Damos Dumoli Agusman,educated at,University of Hull
Cars,set in environment,desert
Harold Emmerson,occupation,civil servant
Ferah Ali Paşa,occupation,Pasha
Dewlap,subclass of,skin
Mostaccino,has part,mace
Jorge Liberato Urosa Savino,place of death,Caracas
Yr Wyddfa,located in/on physical feature,Snowdonia
Oron people,instance of,ethnic group
Hideki Yuasa,country of citizenship,Japan
Park Place Gallery,significant person,Leo Valledor
God of War Ragnarök,characters,Durlin
Anant Dajikaka Gadgil,place of death,Pune
Piaroa,instance of,tribe
Perth Sheriff Court,located on street,Tay Street
Cornwallis,located in the administrative territorial entity,Auckland Region
David Chung,educated at,George Mason University
Japanese Instrument of Surrender,signatory,Yoshijirō Umezu
Luis Gustavo,languages spoken written or signed,Spanish
Neil Simon,end cause,divorce
Alpha Condé,replaced by,Mamady Doumbouya
Jobbik,language of work or name,Hungarian
Hellhound,language of work or name,Spanish
Yuma Mastubara,of,Sanfrecce Hiroshima Regina
Herzl Kashetsky,occupation,painter
Alexey Dyumin,head of state,Vladimir Putin
Ahmetcan Kaplan,country of citizenship,Turkey
Ntando Mahlangu,sport,para athletics
The French Dispatch,cast member,Félix Moati
Marion Dorn,spouse,Henry Varnum Poor
TheSoul Publishing,headquarters location,Cyprus
Babyface,family name,Edmonds
Fernando Mario Chávez Ruvalcaba,cause of death,COVID-19
Pan-Slavism,country,Russian Empire
André Zacharow,occupation,economist
Nauka,connects with,Prichal
Yuma Mastubara,family name,Matsubara
Hawkeye,distributed by,Disney+
Armin Laschet,location,Aachen
Georgios Kalliergis,movement,Palaeologan Renaissance
Pioneer Valley,located in the administrative territorial entity,Franklin County
Joseph Docker,occupation,surgeon
Françoise Bernard,place of birth,Paris
William Blake,genre,allegory
James Maloney,elected in,2021 Canadian federal election
Ma Ding,occupation,engineer
Vajiralongkorn I of Thailand,military rank,Field marshal
Parasol Stars: The Story Of Rainbow Islands 2,platform,Game Boy
Vajiralongkorn,native language,Thai
Passing,cast member,Ruth Negga
Cláudio Luiz Rodrigues Parise Leonel,member of sports team,FC Zenit Saint Petersburg
HMS Hare (J389),operator,Royal Navy
Lonnie Smith,place of birth,Lackawanna
Honor,product or material produced,smartphone
Hollow Knight,set in environment,nest
Krista Fischer,member of,Estonian Academy of Sciences
HMS Stronghold,operator,Royal Navy
Pipipi,endemic to,New Zealand
Ralph Irizarry,place of death,Brooklyn
Alex Battle,place of birth,Plymouth
Jellystone!,characters,Top Cat
Irene Baker,employer,University of California Berkeley
Jalisco,contains administrative territorial entity,Tequila
RAF Menwith Hill,part of,ECHELON
Warren H. Wilson,place of birth,Tidioute
sexism,subclass of,attitude
Benoît Trémoulinas,place of birth,Bordeaux
Englerina,named after,Adolf Engler
Pitheavlis Castle,location,Perth
The Crowded Sky,set in environment,aircraft
Deltarune,distributed by,Steam
Maleficent,set in environment,castle
The Man from U.N.C.L.E.,color,color
The Matrix Resurrections,composer,Johnny Klimek
Queen Inwon,father,Kim Joo-shin
Washington Misick,sibling,Michael Misick
Empress Myeongseong,family name,Min
Rosa 'A Shropshire Lad',creator,David C. H. Austin
Afruz Amighi,educated at,New York University
Oingo Boingo,has part,John Avila
Valjo Masso,occupation,politician
Hägglunds Arena,language of work or name,Swedish
Rat Race,set in environment,desert
Robert Prem,languages spoken written or signed,German
Tina Karol,language of work or name,Russian
Benjamin Page,military rank,commander
Carlo Alighiero,place of death,Rome
Margarita Peña,second family name in Spanish name,Muñoz
Newark Assembly,owned by,Chrysler
Somebody To Love,performer,Usher
Kents Bank,located in the administrative territorial entity,Grange-over-Sands
Deng Jianjun,occupation,engineer
Levantine Arabic,indigenous to,Jordan
Helmer Jõgi,country of citizenship,Estonia
Ingeborg Marie Raunkiær,place of burial,Solbjerg Park Cemetery
Marci Ien,elected in,2021 Canadian federal election
Sandrine Rousseau,occupation,feminist
Super Mario 64,place of publication,Japan
Oingo Boingo,has part,Richard Gibbs
blacktip shark,IUCN conservation status,Vulnerable
Crown Princess Gonghoebin,of,Joseon
IMPACT Muang Thong Thani,has part,IMPACT Exhibition Center
Arcos Dorados Holdings,instance of,business
Irene Baker,residence,Ghana
Plaine des Sables,located in the administrative territorial entity,Sainte-Rose
Russians,affiliation,Old Believers
Top of the World,performer,Lynn Anderson
Oingo Boingo,has part,Steve Bartek
Marc Dalton,electoral district,Pitt Meadows—Maple Ridge
Edgar Degas,significant person,Mary Cassatt
Kommunarka (confectionery plant),instance of,company
2012,set in environment,ship
Irada Alili,occupation,journalist
Vanessa Estelle Williams,different from,Vanessa Williams
Levantine Arabic,influenced by,French
Mars Exploration Rover,has part,Opportunity
Joseph Flavelle,given name,Wesley
Sylvia Michel,languages spoken written or signed,German
Anastasia Vedyakova,occupation,violinist
Kathrine Kleveland,occupation,politician
ABBA,language of work or name,German
Sir Daniel Cooper 1st Baronet,position held,Agent-general for New South Wales
Umi Dachlan,sex or gender,male
Hamazkayin,headquarters location,Beirut
Nadine Coyle,country of citizenship,Ireland
Wahhabism,religion,Islam
Syldavia,present in work,The Calculus Affair
Éloïc Peyrache,employer,HEC Paris
Ukraїner,language of work or name,Japanese
Forestella,instance of,crossover
Travis Scott,together with,Young Thug
Pieter de Hooch,genre,portrait
Kfar Etzion,country,Israel
Christian IX of Denmark,country,Duchy of Schleswig
The Suicide Squad,narrative location,Corto Maltese
Home on the Range,statement is subject of,Home on the Ranch
Mars Exploration Rover,has part,Spirit
Zhuanxu,kinship to subject,descendant
Th. A Findeisen,languages spoken written or signed,German
Last Night in Soho,cast member,Diana Rigg
Varangians,of,Scandinavians
Simu Liu,residence,Canada
Antonín Svoboda,place of birth,Brno
Mary Andrews Denison,place of burial,Lakeside Cemetery
Sivakasi,instance of,town
Louise Hegermann-Lindencrone,place of birth,Copenhagen
Marcello Diomedi,languages spoken written or signed,Italian
Aleksander Stern,country of citizenship,Estonia
Ioannis Passalidis,place of birth,Kutaisi
Zhai Yongming,native language,Chinese
Vedantu,country,India
Alfred the Great,stated in,Oxford Dictionary of National Biography
John Bock,place of birth,Gribbohm
Japanese Instrument of Surrender,represents,Emperor of Japan
Gugu Gumede,mother,Zanele kaMagwaza-Msibi
Aziz Hajini,country of citizenship,India
Serkan Altunorak,languages spoken written or signed,Turkish
The Second Man,cast member,Salah Zulfikar
whaling in the Faroe Islands,subclass of,tradition
Real Madrid Femenino,home venue,Ciudad Real Madrid
Mikis Theodorakis,languages spoken written or signed,Greek
Friedhelm Hummel,occupation,neuroscientist
The Artful Escape,voice actor,Carl Weathers
Bahdinan,capital,Amadiya
San Llorente de la Vega,located in the administrative territorial entity,Melgar de Fernamental
Sterling Maddox,academic degree,Bachelor of Science
Armin Laschet,work location,Aachen
Moran Samuel,country,Israel
Bhumibol Adulyadej,military rank,Admiral of the fleet
Krista Fischer,employer,University of Tartu
Stevenson Archer,father,John Archer
Queen Inwon,replaced by,Queen Seonui
The Matrix,statement supported by,Oracle
Bao Gang,educated at,Tsinghua University
Jessica Alves,academic major,public relations
Chrystia Freeland,elected in,2021 Canadian federal election
Oren Peli,country of citizenship,Israel
Peter Williams,place of birth,Suffern
Skin,original language of film or TV show,Persian
Claude Montmarquette,place of birth,Montreal
Lauren Davidson,place of birth,Scotland
Dani Olmo,member of sports team,RB Leipzig
Eleanor Ryan-Doyle,employer,Peamount United
Cynthia Clark Wedel,educated at,Northwestern University
Neltje Doubleday Kings,place of death,Banner
Aimee S. Morgans,occupation,engineer
Daniel S. Fisher,work location,Stanford
Inge Ginsberg,country of citizenship,Switzerland
Rutherglen Football Club (1893),sport,Australian rules football
2020 Barquisimeto shooting,located in the administrative territorial entity,Lara
Jay Sandrich,place of death,Los Angeles
Russian corvette Bashkortostan,operator,Russian Navy
Scopitone,subclass of,jukebox
Jacquelyn Reingold,occupation,playwright
Edoardo Mapelli Mozzi,mother,Princess Beatrice of York
Mexico,participant in,World War II
Carlo Boccadoro,languages spoken written or signed,Italian
Carol A. Handwerker,employer,Purdue University
The Matrix,character role,Mouse
David Duguid,replaces,Douglas Ross
EarthBound,follows,Mother
Lars-Henrik Schmidt,place of birth,Vejle
British United Air Ferries,followed by,British Air Ferries
Andrej Babiš,represents,ANO 2011
Julian Salomons,award received,Queen's Counsel
Dracophyllum trimorphum,endemic to,New Zealand
L. J. A. Schoonheyt,place of birth,Magetan
Debby Bogaert,place of birth,Goes
James Dunnett,given name,Ludovic
Tom Waterhouse,founded by,Waterhouse VC
Waxahatchee,for work,Saint Cloud
Tadpole Treble,platform,Nintendo Switch
Carol A. Handwerker,given name,Anne
Tatsuki Fujimoto,place of birth,Nikaho
Dušan Ivković,country of citizenship,Yugoslavia
Nadhim Zahawi,position held,Secretary of State for Education
Mostaccino,location of creation,Crema
Anne Wyllie,educated at,Utrecht University
Japanese Instrument of Surrender,signatory,Mamoru Shigemitsu
Roman Shukhevych,sibling,Natalia Shukhevych
Sermon on the Mound,instance of,speech
Jack Casady,member of,Jefferson Airplane
Kenneth Good,place of death,Melbourne
Ferryhill,location,Aberdeen
Last Night in Soho,cast member,Terence Stamp
Roberto Colautti,place of birth,Córdoba
Agelus,father,Poseidon
Harry E. Soyster,academic major,chemistry
Guido Lanfranco,award received,Midalja għall-Qadi tar-Repubblika
Conley Byrd,place of birth,Poughkeepsie
Lušci Palanka,instance of,village
Great Loop,country,Canada
Deception,set in environment,hospital
Wyoming Highway 376,located in the administrative territorial entity,Rock Springs
A Matter of Life and Death,color,black and white
Georgios Kalliergis,occupation,fresco painter
Roy,instance of,character
East Frisia,has part,Butjadingen
Helen of Troy,father,Paris
Altai people,subclass of,Russians
Amobé Mévégué,cause of death,COVID-19
Porn star martini,creator,Douglas Ankrah
Terunofuji Haruo,country of citizenship,Japan
George Chahal,electoral district,Calgary Skyview
Cr1TiKaL,occupation,Twitch streamer
Under Siege,set in environment,ship
tofu,of,Japan
Abdulrahman Al-Harthi,place of birth,Saudi Arabia
Dionysus,present in work,Dionysiaca
Anne Knüpp,languages spoken written or signed,German
Orlando Patterson,given name,Horace
The Wonderful Wizard of Oz,narrative location,Land of Oz
Henri Cirelli,place of death,Dudelange
The Witches of Eastwick,set in environment,mansion
Empress Myeongseong,father,Min Chi-rok
Leonor Espinoza,award received,gold medal
Jacobo Árbenz,military rank,colonel
Laurent Hatton,languages spoken written or signed,French
Liam Manning,place of birth,Norwich
Carlo Chendi,place of death,Rapallo
Natalia Soledad Villa,educated at,University of Belgrano
William Augustine Washington,spouse,Sarah Tayloe
Siberia,part of,Asia
Margita Tomanová,sport,chess
Katie McVean,country for sport,New Zealand
Mexico,replaces,Aztec Empire
Frank G. Smith,country of citizenship,Kansas
Frederick Campbell,occupation,cricketer
Hep Stars on Stage,tracklist,If You Need Me
Dave,family name,Omoregie
Sicario,genre,thriller
Accepted,set in environment,psychiatric hospital
Cars 3,characters,Sterling
Henry Jonathan Biddle,occupation,botanist
Amy Gutmann,place of birth,Brooklyn
Mike Richards,given name,Michael
Lodewijk Freidrich Paulus,languages spoken written or signed,Indonesian
Moran Samuel,place of birth,Karmiel
Eleanor Ryan-Doyle,place of birth,Dublin
Sunset and Sunrise,cast member,Soad Hosny
Ukraїner,language of work or name,Czech
Ma'ale Adumim,country,Israel
VinFast,language of work or name,Vietnamese
Arnaud Assoumani,sports discipline competed in,triple jump
Los Mármoles National Park,located in/on physical feature,Sierra Madre Oriental
Harry E. Soyster,academic degree,Master of Science
Leiocephalus partitus,taxon rank,species
Uli Jon Roth,member of,Scorpions
Aleksander Kask,country of citizenship,Estonia
Levantine Arabic,indigenous to,Israel
Hsu Wen-tsu,country of citizenship,Taiwan
Pistol Whip,platform,PlayStation 4
Hideaki Ohba,native language,Japanese
Nayarit,contains administrative territorial entity,Acaponeta
The Elder Sister-like One,publisher,ASCII Media Works
PC Gamer,main subject,video game
East Frisia,has part,Saterland
Shang-Chi and the Legend of the Ten Rings,instance of,film
2016 Russian legislative election,candidate,United Russia
Capital Metropolitan Transportation Authority,instance of,company
biology,instance of,science
There's Someone Inside Your House,cast member,Burkely Duffield
Elizabeth Truss,replaces,Dominic Raab
Colombia national football team,publisher,FIFA
2022 Winter Olympics,language of work or name,Italian
Fulía,country of origin,Venezuela
Toni Morrison,end cause,divorce
Vajiralongkorn I of Thailand,military rank,Admiral of the fleet
Joseph P. Allen,employer,University of Virginia
IMPACT Muang Thong Thani,has part,IMPACT Arena
Sejong the Great,noble title,king
Johnny chien méchant,author,Emmanuel Dongala
Ohio Stadium,criterion used,C
Bhumibol Adulyadej,writing language,Thai
Zanele kaMagwaza-Msibi,place of birth,Makhosini
Verbotsgesetz 1947,applies to jurisdiction,Austria
Ernando Ari Sutaryadi,languages spoken written or signed,Indonesian
detective fiction,instance of,fiction genre
Park Place Gallery,significant person,David Novros
James P. Ulm,academic degree,master's degree
God of War Ragnarök,voice actor,Sunny Suljic
Rose Combe,languages spoken written or signed,French
Rudolf Erdmenger,languages spoken written or signed,German
Vietnam Militia and Self-Defense Force,affiliation,Communist Party of Vietnam
Joseph-Louis Lagrange,work location,Berlin
Hidemi Yoshida,country of citizenship,Japan
Belye Medveditsy,league,Zhenskaya Hockey League
Ogden Express,connects with,Weber State University
Daffney,given name,Claire
Zomato,country,India
Federigo Zuccari,given name,Vincenzo Antonio
Mervyn Taylor,native language,Irish
Somizi Mhlongo,mother,Mary Twala
Skin,country of origin,Iran
Zanele kaMagwaza-Msibi,place of death,Durban
Alix E. Harrow,residence,Virginia
Henkel AG & Co. KGaA,language of work or name,German
Brett Goldstein,for work,Ted Lasso
Last Night in Soho,cast member,Rita Tushingham
Jorge Sampaio,cause of death,respiratory failure
Robert Jahnke,ethnic group,Māori
Addams Family Values,based on,The Addams Family
James Gascoyne-Cecil 2nd Marquess of Salisbury,electoral district,Hertford
Vladimir Nabokov,work location,Paris
Ankara Metro,has part,Koru
Blue Bayou,distributed by,Focus Features
Syra of Troyes,canonization status,saint
Jon Anderson,partner in business or sport,Vangelis
Alice Badiangana,participant in,Trois Glorieuses
2015 FG415,instance of,trans-Neptunian object
silanide,instance of,anion
Nancy Lou Schwartz,employer,Carnegie Mellon University
Pyramids,takes place in fictional universe,Discworld
Mervyn Taylor,languages spoken written or signed,Irish
Ricky Meléndez,member of,Menudo
The Lion King,set in environment,jungle
Michel Barnier,language of work or name,French
Cinderella,cast member,Nicholas Galitzine
Nandita Berry,family name,Venkateswaran
Concrete Revolutio,creator,Shō Aikawa
John Travolta,for work,Get Shorty
hitting for the cycle,of,batter
2019 Canadian federal election,candidate,Bloc Québécois
Mexican Grand Prix,sport,Formula One
Ian Gallagher,medical condition,bipolar disorder
Paul Rusesabagina,convicted of,terrorism
Charade Circuit,language of work or name,French
Lionel Messi,significant person,Cristiano Ronaldo
God of War Ragnarök,voice actor,Ryan Hurst
Al Jazeera English,headquarters location,London
Jan Spooren,position held,governor
Chinese rock,subclass of,rock music
Ellis Hall,member of,Tower of Power
Miralem Pjanić,acquisition transaction,loan
Ukraїner,language of work or name,Spanish
Yahoo Inc.,parent organization,Apollo Global Management
Frank Herbert's Children of Dune,set in environment,desert
Cinderella,cast member,Camila Cabello
Xia Changliang,member of,Chinese Academy of Engineering
Giuseppe Cassella,given name,Antonio
Enoch Adeboye,said to be the same as,Enoch Adejare Adeboye
Yuan Wenqing,participant in,1997 World Wushu Championships
Baymina Ankara gas power station,country,Turkey
Facundo Ferreyra,member of sports team,S.L. Benfica
Pam Hupp,convicted of,murder
Best Secret GmbH,country,Germany
Hanazono Room,language of work or name,Japanese
Sir Walter Statue King's Place Perth,instance of,monument
Eastern Orthodox Church,religion,Coptic Orthodox Church
Cinderella,cast member,James Corden
God of War Ragnarök,voice actor,Ben Prendergast
Jonathan Augustinsson,sibling,Ludwig Augustinsson
Deutsche Bank Center,owned by,The Related Companies
Notgeld,subclass of,scrip
Jolyon Wagg,present in work,The Red Sea Sharks
Amos Tamam,sibling,Meir Tamam
Matheus Alexandre Anastácio de Souza,country of citizenship,Brazil
Jenna Sudds,electoral district,Kanata—Carleton
Bjørnar Skjæran,electoral district,Nordland
Dracophyllum densum,endemic to,New Zealand
Une Aina Bastholm,elected in,2021 Norwegian parliamentary election
Tibil,part of,Mandaean cosmology
Barbados Joe Walcott,different from,Jersey Joe Walcott
Evelyn Murray,given name,Pemberton
Road to Avonlea,set in environment,island
Kyogle,taxon author,Donald S. Chandler
Damos Dumoli Agusman,educated at,Goethe University Frankfurt
NGC 839,instance of,lenticular galaxy
Sterling Maddox,given name,Ruffin
Arlet Levandi,head coach,Anna Levandi
Tina Karol,field of work,show business
The Matrix Resurrections,director,Lana Wachowski
Waxahatchee,award received,Libera Awards
Birgit Wiese,languages spoken written or signed,German
Maria Gowen Brooks,child,Horace Brooks
Chang,languages spoken written or signed,Klingon
