subject,relation,object
Lark Play Development Center,instance of,organization
Katia Bellillo,native language,Italian
Mexico,applies to part,Baja California Sur
Nadine Schön,elected in,2021 German federal election
XVIII International Chopin Piano Competition,participant,Nikolay Khozyainov
Indianapolis Motor Speedway,used by,motorsport
Artyom Loskutov,notable work,Without love nothing works
Tadeusz Kassern,instrument,piano
Super Smash Bros. Ultimate,characters,Mii
mitre,used by,Catholic bishop
Bartolomeu Jacinto Quissanga,sibling,Nandinho
Indonesian,influenced by,English
Amir Abdullah Khan Rokhri,languages spoken written or signed,Urdu
Sofia Gubaidulina,instrument,piano
Soviet Central Television,has part,Moscow Programme
Ian Wright,kinship to subject,nephew
James Michael Tyler,place of death,Los Angeles
Bundestag of Germany,chairperson,Bärbel Bas
Abdul Qadeer Khan,cause of death,COVID-19
Zombie College,voice actor,David Herman
Cartoon Network Studios,parent organization,Hanna-Barbera
Raymond Queneau,spouse,Janine Kahn
Union Jack,color,argent
Eric Clayton,member of,Saviour Machine
XVIII International Chopin Piano Competition,stage reached,final
Grey Ruthven 2nd Earl of Gowrie,position held,lord-in-waiting
Andrei Chindriș,acquisition transaction,transfer
employer branding,subclass of,brand management
ASEAN,has part,Laos
Bhargav Sri Prakash,educated at,Anna University
Chevalier de Saint-George,family name,de Saint-Georges
National Council of the Judiciary,language of work or name,Polish
George Munger,child,Clarissa Munger Badger
Critical Role,series spin-off,Exandria Unlimited
Maxis,notable work,The Sims
Kudirat Kekere-Ekun,educated at,Nigerian Law School
Klaas-Jan Huntelaar,league,Eredivisie
Andi Kravljaca,member of,Aeon Zen
Matt Blundin,country for sport,Kansas
Joc Pederson,member of sports team,Atlanta Braves
ScummVM,instance of,software
Russian Canadians,country,British Columbia
Colin Jones,medical condition,dyslexia
Casey Spooner,partner in business or sport,Warren Fischer
Maor Buzaglo,father,Jacob Buzaglo
Annunciation,participant,Gabriel
Scoob!,characters,Dee Dee Skyes
shogi,country of origin,Japan
King Richard,cast member,Aunjanue Ellis
Joseph Crabtree,member of,Pendragon
The Essential Simon & Garfunkel,place of publication,Europe
Joanna Rakoff,educated at,Oberlin College
Frank Locascio,place of death,Devens
Florin Cîțu,end cause,motion of no confidence
Mothers of the Plaza de Mayo,founded by,Esther Ballestrino
Wilhelm Topps Minde,location,Roskilde
Proto 1,designed by,Ștefan Protopopescu
Tsz Tong Tsuen (North District),instance of,village
tarmida,field of this occupation,Mandaeism
Man Ray,country of citizenship,France
Miloš Zeman,native language,Czech
Boubacar Boris Diop,award received,Neustadt International Prize for Literature
Gan Kim Yong,position held,Minister for Trade and Industry
rosary,has part,Hail Mary
Olga Richterová,native language,Czech
Károly Hopp-Halász,has works in the collection,LIMA
Ryan Shawcross,league,Major League Soccer
The Batman,screenwriter,Mattson Tomlin
Vajiravudh,conflict,World War I
Katie Ledecky,residence,Stanford
Mumbai Metro,has part,Metro 4
Turning Point USA,significant person,Candace Owens
Ellen Barron,occupation,nurse
Alexei Navalny,award received,Knight of Freedom Award
Ryszard Schnepf,languages spoken written or signed,Polish
Gilberto Braga,place of death,Rio de Janeiro
Claire Van Ummersen,employer,Cleveland State University
Abdul Qadeer Khan,place of death,Islamabad
David Amess,object has role,accused
Göring Telegram,author,Hermann Göring
Historical Vedic religion,followed by,Hinduism
Qaiser Ahmed Sheikh,native language,Urdu
Union Jack,color,azure
Circuit of the Americas,used by,motorsport
Scott Joplin,genre,ragtime
Scoob!,characters,Muttley
Prince Fushimi Hiroyoshi,languages spoken written or signed,Japanese
A.D. Pirous,educated at,Bandung Institute of Technology
The French Dispatch,set in environment,office
Senga Nengudi,given name,Sue
Atonement,narrative location,Dunkirk
Gaetano Salvemini,native language,Italian
Queen Sirikit The Queen Mother of Thailand,military rank,Admiral of the fleet
Mark van Bommel,coach of sports team,VfL Wolfsburg
Canadian National Exhibition,located in the administrative territorial entity,Toronto
Samoth,spouse,Andrea Haugen
Qaiser Ahmed Sheikh,languages spoken written or signed,Urdu
Black Panther,instance of,sequel
Astrid Grotelüschen,parliamentary term,18th German Bundestag
Georges Brassens,instrument,voice
Constantin Budescu,of,FCSB
Joshua Angrist,country of citizenship,Israel
Joshua Angrist,field of work,economics
Jorien ter Mors,languages spoken written or signed,Dutch
PAW Patrol,inferred from,Paramount+
Union Jack,instance of,national flag
Louise of Sweden,native language,Swedish
Alessia Cara,languages spoken written or signed,Italian
Arthur Holroyd,electoral district,Parramatta
Burglary in English law,main regulatory text,Theft Act 1968
Specialist Operations,has part,Counter Terrorism Command
bushwren,instance of,taxon
Beram Kayal,country,Israel
Edinson Cavani,sibling,Walter Guglielmone
Hussein El Dor,member of sports team,PSM Makassar
CKXO-FM,owned by,Cogeco
Necker Island,named after,Jacques Necker
Con Martin,child,Mick Martin
Scoob!,character role,Captain Caveman
Altena Castle (Almkerk),located in the administrative territorial entity,Woudrichem
Viacom,subsidiary,Paramount Pictures
Mika Rottenberg,occupation,artist
Roman Empire,currency,as
Marriott International,subsidiary,Ritz-Carlton
Yacine Brahimia,country for sport,France
Jose W. Diokno,chairperson,Philippines
Andrew Forrest,given name,Henry
Belita Moreno,languages spoken written or signed,Spanish
Mexico,applies to part,Yucatán
Sandvikens Skeppsdocka och Mekaniska Verkstad,industry,shipbuilding
Zaalima,instance of,song
A Sea-Spell,depicts,bird
BoardGameGeek,instance of,online community
Nuri Şahin,country of citizenship,Turkey
Michael Dunlop,sport,road racing
liturgical year,religion,Christianity
Naghma Mushtaq,place of birth,Multan
Monika Aidelsburger,occupation,professor
Jean Schmidt,replaced by,Brad Wenstrup
Carlos Andrés Sánchez,sibling,Nicolás De La Cruz
Martha Henry,occupation,director
Stokes' law,symbol represents,radius
Raven,unmarried partner,Beast Boy
Galen Gering,languages spoken written or signed,Spanish
Alternative for Germany,official color(s),red
Indecision,record label,Undecided Records
Jean de Carrouges,occupation,knight
Nicolas Pépé,country for sport,France
Lin Huiyin,residence,Beijing
Salvator Rosa,spouse,Lucrezia Paolini
motion,studied by,mechanics
Door Peninsula,located in or next to body of water,Green Bay
Paulo Wanchope,father,Vicente Wanchope
Vajiravudh,occupation,writer
Mexico,applies to part,Nuevo León
Door County,located in/on physical feature,Lake Michigan
Gregory Bicskei,position held,bishop-elect
Eastern Rukum District,country,Nepal
Gan Kim Yong,position held,Minister for Health
Nekane Aramburu,occupation,art historian
All Saints' Day,follows,Halloween
Union Jack,color,gules
Soviet Central Television,has part,Programme Two
Danger Close Games,parent organization,Microsoft
Cesare Salvi,native language,Italian
Paul Wesley,languages spoken written or signed,English
Sally Dynevor,spouse,Tim Dynevor
Scoob!,character role,Fred Jones
Cumbre Vieja,has effect,Teneguía
Bärbel Bas,place of birth,Duisburg
Andrew Forrest,given name,John
Louise of Sweden,languages spoken written or signed,Swedish
Scoob!,character role,Dynomutt
Norway,head of government,Jonas Gahr Støre
trick-or-treating,subclass of,tradition
Sonic the Hedgehog,RTC film rating,A
Joy Hodges,place of birth,Des Moines
The Expendables 3,followed by,The Expendables 4
Aamir Hussain,native language,Urdu
Osman Kavala,occupation,philanthropist
Alexander Severus,Roman cognomen,Alexianus
Gihren no Yabou,media franchise,Gundam
adultery,different from,extramarital sex
Global systemically important banks,facet of,systemic risk
Château d'Abondant,owned by,Henry Herman Harjes
Gianni Oliva,native language,Italian
Unite the Right rally,organizer,Jason Kessler
Door Peninsula,located in/on physical feature,Niagara Escarpment
Necker Island,stated in,National Register of Historic Places
UPN,owned by,Viacom
Pierre-Yves Gerbeau,sport,inline hockey
Michael Farthing,occupation,gastroenterologist
Grateful Dead,has part,Brent Mydland
Eden Shamir,country for sport,Israel
Maccabean Revolt,country,Seleucid Empire
Sabrina Bryan,member of,The Cheetah Girls
Hartmut Derendorf,country of citizenship,Germany
Luka Snoj,sport,3x3 basketball
Adrienne Rich,given name,Cecile
Korean architecture,instance of,architectural style
Sirikit,military branch,Royal Thai Armed Forces
Grateful Dead,replaced by,Vince Welnick
Kimberley Atlético Club,location,Villa Devoto
Contract Freighters Inc.,location of formation,Joplin
Narcos,main subject,murder
S. Iswaran,position held,Minister for Communications and Information
SLTMobitel,stock exchange,Colombo Stock Exchange
Pepe Reina,father,Miguel Reina
Reginald Joseph Marr,occupation,barrister
Jonas Gahr Støre,replaces,Erna Solberg
L'Orfeide,instance of,opera
Bert Newton,place of death,Melbourne
Nikolay Vasilyevich Fyodorov,position held,Federation Council
Craig S. King,academic degree,Juris Doctor
Aldo Clementi,work location,Rome
Vajiravudh,honorific prefix,Majesty
Piaroa,instance of,nation
The Flash,film editor,Paul Machliss
Sima,language of work or name,Hebrew
Benjamin H. Warder,place of death,Cairo
energy-momentum relation,symbol represents,mass
Club Atlético Banfield,affiliation,Argentine Football Association
Metroid Dread,producer,Yoshio Sakamoto
Iya Gavrilova,country for sport,Russia
Belita Moreno,writing language,Spanish
Nuri Şahin,member of sports team,Antalyaspor
Jovita Moore,cause of death,glioblastoma
Raed Ahmed,sport,weightlifting
Al-Shabaab,chairperson,Ahmed Abdi Godane
Black Widow,content descriptor,V
Pilgrim Airlines Flight 458,of,passenger
Elliot Stabler,occupation,detective
Javier Hernández,relative,Tomás Balcázar
Party of Democratic Socialism,official color(s),red
Keizō Hayashi,languages spoken written or signed,Japanese
Yasin Abu Bakr,country,Trinidad and Tobago
Kjersti Toppe,cabinet,Støre's Cabinet
Arthur Holroyd,end cause,defeated
The Addams Family,named after,Charles Addams
pyrylium,has part,hydrogen
Klaus Johannis,of,National Liberal Party
Alan Anderson,native language,Spanish
Anton Führer,academic thesis,De dialecto boeotica
Sirikit,native language,Thai
Marguerite Dunlap,place of death,Upper Montclair
Alfred Nobel,notable work,dynamite
Joseph Leese,place of birth,Manchester
Indonesian,influenced by,Hokkien
Colin Powell,academic degree,Bachelor of Science
Paolo Gentiloni,native language,Italian
Scoob!,character role,Dick Dastardly
Ziggy Alberts,country of citizenship,Australia
Colin R. McMillan,academic major,geology
Glory,lyrics by,Miku Kobato
Michael Farthing,employer,Universities UK
Brihadaranyaka Upanishad,translator,Patrick Olivelle
Mothers of the Plaza de Mayo,founded by,María Ponce
Dennis Prager,medical condition,COVID-19
XVIII International Chopin Piano Competition,participant,Leonora Armellini
Rick Danko,member of,The Band
Mohammad Parvaiz Malik,country of citizenship,Pakistan
Vajiravudh,languages spoken written or signed,English
Nexstar Media Group,industry,broadcasting
All Too Well,published in,Red
Roh Tae-woo,conflict,Korean War
Sagarika,place of birth,Guwahati
Qwiki,founded by,Doug Imbruce
liturgical year,subclass of,calendar
ASEAN,has part,Brunei
wind chill,calculated from,air temperature
Habib Beye,country for sport,France
Javier Hernández,kinship to subject,grandfather
Tom Asbury,country for sport,Kansas
Un Canadien errant,language of work or name,French
Yasin Abu Bakr,member of,Jamaat al Muslimeen
Puneeth Rajkumar,place of death,Bengaluru
Timuel Black,place of death,Illinois
Microsoft Bing,replaces,Live Search
A.D. Pirous,country of citizenship,Indonesia
XVIII International Chopin Piano Competition,participant,Michelle Candotti
Islam,location,Muslim world
Surf's Up,Australian Classification,G
jack-o'-lantern,use,Halloween
Alexei Navalny,field of work,politician
Nikita Khaykin,country of citizenship,Israel
Robin Wood,place of death,Asunción
Battle of Cyzicus,participant,Mindarus
Gigi Hadid,unmarried partner,Zayn Malik
Michel Bastos,country for sport,France
Harry Potter and the Deathly Hallows,genre,novel
Kyle Snyder,occupation,collegiate wrestler
Giorgio Parisi,field of work,statistical mechanics
cello,language of work or name,Italian
Carissa Yip,sports discipline competed in,chess
Panama Metro,uses,overhead line
Kang Ye-seo,member of,Kep1er
Grateful Dead,has part,Tom Constanten
Michael Farthing,employer,University of London
Ixtlán del Rio,located in the administrative territorial entity,Nayarit
Mr. Magorium's Wonder Emporium,voice actor,Zach Mills
Colin Powell,has contributing factor,multiple myeloma
Enrico Letta,replaces,Pier Carlo Padoan
atomic theory,of,Of
Orson Welles,native language,Spanish
cathedral,instance of,building
legalization,subclass of,authentication
Sean Rad,work location,Los Angeles
Santa Fe,of,New Mexico
Lee Radziwill,given name,Caroline
Lucius Salvius Otho,mother,Titia
Andrej Babiš,native language,Czech
Marcello Musto,languages spoken written or signed,Spanish
Safet Sušić,sibling,Sead Sušić
Billy Cox,member of,Band of Gypsys
Supercrooks,author,Leinil Francis Yu
Party of Democratic Socialism,replaces,Socialist Unity Party of Germany
Amrullah Saleh,religion,Islam
Isis,child,Anubis
Asiaciti Trust,location of formation,British Hong Kong
Jacques Schiffrin,ethnic group,Jewish
Kola Tubosun,languages spoken written or signed,English
Chris Dagnall,object has role,name
Comau,industry,automation
Nakano Shinji,sport,Formula One racing
Demba Ba,country for sport,France
Proto 1,subclass of,biplane
Tony Radakin,member of,Middle Temple
Hans Haselböck,educated at,University of Vienna
Rash Behari Bose,located in the administrative territorial entity,Purba Bardhaman district
Magadha,instance of,people
Clara Campoamor,given name,Carmen
The Hunting of the Snark,form of creative work,poem
Jewish education,subclass of,Judaism
Mel Ferrer,writing language,Spanish
Galyani Vadhana,languages spoken written or signed,French
Director X,genre,rap
Additive synthesis,subclass of,sound synthesis
Serdar Dursun,country for sport,Turkey
Mexico,applies to part,Puebla
Walter Tarnopolsky,family name,Surma
Alexander Karelin,position held,Federation Council
Shinto,has quality,state religion
Raphaël Guerreiro,country for sport,France
Lucas Herbert,country of citizenship,Australia
Nishat Ahmad Khan,country of citizenship,Pakistan
Freegate,operating system,Android
Nobody Home,published in,The Wall
Shu Ting,native language,Chinese
Luisa Morgantini,native language,Italian
Gear Fighter Dendoh,director,Mitsuo Fukuda
Danny Huston,languages spoken written or signed,English
Moussa Sissako,country of citizenship,France
EMB 314 Super Tucano,use,close air support
Radek Koten,languages spoken written or signed,Czech
Romanian,different from,Moldovan
Timothée Kolodziejczak,country for sport,Germany
Mitsubishi Caterpillar Forklifts,product or material produced,forklift truck
Alessandro Natta,native language,Italian
Miss Universe,instance of,organization
Peter Bunnell,place of birth,Poughkeepsie
Super Smash Bros. Ultimate,IMDA rating,G
James Brokenshire,end cause,resignation
SEPECAT Jaguar,operator,Royal Air Force of Oman
Supercrooks,author,Mark Millar
Iran Darroudi,place of death,Tehran
San Lorenzo de Almagro,location,Boedo
Claudia Fischer,sibling,Karina Toth
Fülöp Szentgróti,position held,archbishop
Nguyen Thi Mai Anh,occupation,First Lady
Samuel Daniel,place of death,Beckington
Salomon Kalou,sibling,Bonaventure Kalou
Abulhassan Banisadr,end cause,Iranian Revolution
John the Baptist,position held,prophet
Giorgio Parisi,field of work,complex system
Frederik Hoppe,father,Peder Hoppe
Church of St. Michael and St. Anthony,instance of,parish
Vajiravudh,native language,Thai
Taiwan,said to be the same as,Republic of China
Michel Étiévent,language of work or name,French
Candyman,content descriptor,Horror
Tyler Adams,member of sports team,RB Leipzig
Thiago Silva,country for sport,France
Hanan al-Shaykh,child,Juman Malouf
equestrian at the 2020 Summer Olympics – individual jumping,stage reached,qualification
Martha Henry,end cause,divorce
Lucas Zelarayán,country of citizenship,Armenia
Ida Laura Veldhuyzen van Zanten,occupation,social worker
Bud Flanagan,significant event,music hall
Casey Spooner,member of,Fischerspooner
Giuseppe Genco Russo,native language,Italian
Visalia,of,Tulare County
DJ Yung Vamp,place of birth,Liège
Indonesian,influenced by,Arabic
Taboola,instance of,company
XVIII International Chopin Piano Competition,participant,Sohgo Sawada
Alfred Russel Wallace,father,Thomas Vere Wallace
Respect,EIRIN film rating,G
E. W. Scripps Company,subsidiary,Katz Broadcasting
Saslong,instance of,piste
Mel Charles,child,Jeremy Charles
David Johnson,country for sport,Jamaica
Heaven,together with,Yanou
Susanne Hennig,elected in,2021 German federal election
Charles Dubin,given name,Leonard
Amsterdam Metro,uses,third rail
John Magee,position held,Master of Pontifical Liturgical Celebrations
Chevalier de Saint-George,genre,concerto
New Force,headquarters location,Rome
Filipino people,instance of,nation
John E. Murray,educated at,United States Army War College
Mohamed Salah,position played on team / speciality,forward
Enid Bennett,located in the administrative territorial entity,Western Australia
Candi Staton,spouse,Clarence Carter
Shu Ting,field of work,poetry
Star Trek,fandom,Trekkie
Angelo Codevilla,place of death,Tracy
Basic Law for the Federal Republic of Germany,main subject,constitution
Ottoman Empire,instance of,state
Mumbai Metro,has part,Line 2
Atlanta,determination method,2020 United States Census
Japanese street fashion,instance of,fashion style
VocaLink,industry,payment
Ates Gürpinar,elected in,2021 German federal election
Prima Donna,has part,Kevin Preston
Göring Telegram,significant event,auction
Lim Kim San,replaced by,Goh Keng Swee
Joy Hodges,place of burial,Des Moines
Lora Reinbold,medical condition,COVID-19
Pele,sibling,Kamohoalii
Monster Hunter,RTC film rating,B
James LaBrie,member of,Dream Theater
Karel Sládeček,languages spoken written or signed,Czech
Dmytro Razumkov,subclass of,speaker
Magnus Erlingmark,child,August Erlingmark
S. Iswaran,replaces,Lim Hng Kiang
Reba McEntire,instrument,guitar
Ahmed Adeeb,replaces,Mohamed Jameel Ahmed
Amir Reza Abedzadeh,father,Ahmad Reza Abedzadeh
Algeria,shares border with,Spain
Resident Evil,characters,Claire Redfield
Door County,located in/on physical feature,Door Peninsula
Omer Atzili,country for sport,Israel
Mohamed Sissoko,country for sport,France
Isaiah Aram Minasian,occupation,cellist
Age of Empires IV,language of work or name,French
adultery,does not have quality,consent
Radu Câmpeanu,of,National Liberal Party
Adlène Guedioura,father,Nacer Guedioura
Darío Suro,work location,Dominican Republic
Ralph Hasenhüttl,languages spoken written or signed,German
Mel Ferrer,languages spoken written or signed,Spanish
Kjersti Toppe,position held,Minister of Children and Families
The Adventures of Priscilla Queen of the Desert,filming location,Broken Hill
Rik Fox,member of,W.A.S.P.
Colin Powell,medical condition,COVID-19
Peter Jenkins,place of death,British Columbia
Christina Aguilera,writing language,Spanish
Toji the Land,country of origin,South Korea
The Hall of Presidents,characters,Abraham Lincoln
Raí,country for sport,France
Iran Pro League,has part,2015–16 Persian Gulf Pro League
U2,influenced by,The Clash
abortion,of,human
Jason Todd,sibling,Tim Drake
Mexico,applies to part,Veracruz
The Hall of Presidents,characters,Andrew Jackson
Galyani Vadhana,country of citizenship,Thailand
Global systemically important banks,subclass of,financial institution
Indonesian,influenced by,Dutch
Trese,creator,Budjette Tan
Sirikit,honorific prefix,Majesty
Dune,place of publication,Hungary
Galen Gering,writing language,Spanish
Colin R. McMillan,military rank,major
Edward IV of England,unmarried partner,Bona of Savoy
Trick 'r Treat,main subject,Halloween
Bret McKenzie,member of,Flight of the Conchords
Paramount Television,parent organization,Paramount Communications
Chen Shu-chu,occupation,vendor
Colin Powell,medical condition,multiple myeloma
Matthew Kilgallon,position played on team / speciality,centre-back
jack-o'-lantern,significant event,Halloween
Julius Nyerere,canonization status,Servant of God
Joanna Rakoff,occupation,critic
J. Howard Moore,place of birth,Rockville
Paul Blanca,place of death,Amsterdam
Door County,has parts of the class,state park
Alec Baldwin,award received,Golden Globe Award
Red Star Belgrade,victory,1991 Intercontinental Cup
Travie McCoy,member of,Gym Class Heroes
Payun Matru,instance of,shield volcano
Colin Powell,given name,Luther
Geordin Hill-Lewis,place of birth,Plettenberg Bay
William R. Abercrombie,place of death,Spokane
E. W. Scripps Company,publisher,Cleveland Press
Lincoln Memorial,applies to part,wall
Nedumudi Venu,educated at,Sanatana Dharma College
Samir Zard,place of birth,Ife
Arrigo Tessari,languages spoken written or signed,Italian
Luis de Pablo,place of death,Madrid
audio engineer,has part,mixing engineer
Mario Draghi,native language,Italian
Happy Science,founded by,Ryuho Okawa
Tower City Center,has part,Chase Financial Plaza
Shinto,ethnic group,Japanese people
Muhyiddin Yassin,replaced by,Ismail Sabri Yaakob
Rui Costa,replaces,Luís Filipe Vieira
New Deal,has cause,Great Depression
Paramount Domestic Television,parent organization,Paramount Communications
Jerry Pinkney,place of death,Sleepy Hollow
José da Silva Lisboa,native language,Portuguese
XVIII International Chopin Piano Competition,stage reached,preliminary round
Artur Naifonov,country for sport,Russia
Walter Tarnopolsky,place of birth,Gronlid Saskatchewan
Caitlin Cherry,residence,Brooklyn
The Batman,cast member,Max Carver
PAW Patrol,distributed by,Paramount+
Mexico,applies to part,Quintana Roo
Alex Saab,employer,Global Construction Fund
Ellen MacArthur,results,2
Ana Guerra,language of work or name,Spanish
Raptor,subclass of,rocket engine
Hiro Matsushita,of,Matsushita International Corp
Constantin Budescu,position played on team / speciality,attacking midfielder
Red River Campaign,located in the administrative territorial entity,Arkansas
Vajiravudh,country,Siam
Islam,official religion,Muslim world
J2 Global,industry,digital media
Michael Farthing,employer,University of Glasgow
Marte Mjøs Persen,cabinet,Støre's Cabinet
doughnut,subclass of,dessert
Henk ten Cate,languages spoken written or signed,Dutch
Yokohama Country & Athletic Club,country,Japan
Christian Democratic Union,chairperson,Armin Laschet
Geraldine Viswanathan,place of birth,Newcastle
Great Eastern Life,country,Singapore
Door County,applies to part,Green Bay
Natalia Cruz,writing language,Spanish
Antonio Vivaldi,languages spoken written or signed,Venetian
Joanna Pilecka,place of birth,Bydgoszcz
Line 1,terminus,Northgate
Annegret Kramp-Karrenbauer,replaced by,Markus Uhl
Stjepan Vukčić Kosača,languages spoken written or signed,Serbo-Croatian
ashik,subclass of,poet
Château d'Abondant,applies to part,part
Khalid Al Qassimi,mother,Moza bint Hilal Al Nahyan
Belita Moreno,native language,Spanish
Nancy Oestreich Lurie,place of birth,Milwaukee
Stephen M. Bliss,place of birth,Pennsylvania
Jonathan Roxmouth,place of birth,Randburg
Thomas Willing,child,Charles Willing
Arvind Trivedi,place of death,Mumbai
New Orleans,determination method,2020 United States Census
Florent Sinama Pongolle,league,Major League Soccer
It's All in the Game,stated in,Billboard
Maniche,sibling,Jorge Ribeiro
Kara Hultgreen,occupation,aerospace engineer
Door County,applies to part,Lake Michigan
Roy Horan,place of birth,Laurel
Gilberto Braga,residence,Rio de Janeiro
hacktivism,practiced by,hacktivist
Federal Chancellor of Austria,officeholder,Alexander Schallenberg
Christopher Robin,Australian Classification,G
referendums in Australia,results,yes
Jonne Aaron,member of,Negative
Durio oxleyanus,IUCN conservation status,Near Threatened
XVIII International Chopin Piano Competition,winner,Bruce Xiaoyu Liu
Scoutmob,instance of,business
Christian Thielemann,instrument,viola
Galyani Vadhana,languages spoken written or signed,Thai
Mars Helicopter Ingenuity,applies to part,operation
James LaBrie,member of,MullMuzzler
Ofri Arad,sibling,Dori Arad
Jackie,RTC film rating,B
Joachim Gersdorff,place of birth,Søbygaard
Petr Fiala,native language,Czech
Caroline Monnet,sibling,Émilie Monnet
ASEAN,has part,Cambodia
VK,industry,investment
Mark P. Stucky,employer,Blue Origin
Ashkelon,country,Umayyad Caliphate
St Jude storm,country,Europe
Ida Laura Veldhuyzen van Zanten,member of,Air Transport Auxiliary
Kieran Gibbs,league,Major League Soccer
James W. Ball,academic major,industrial management
The Beast,EIRIN film rating,G
Verner Åkerman,spouse,Jensina Lundquist
rent-to-own,has part,option
São Paulo,depicts,Brazil
Chyna,native language,Spanish
Steven R. Donziger,occupation,journalist
Trevor Hemmings,occupation,bricklayer
Maronite Church,founded by,John Maron
Maurice de Saxe,languages spoken written or signed,German
Klaas-Jan Huntelaar,league,Serie A
Park Street station,connecting service,Red Line
Andrew Eldritch,member of,The Sisters of Mercy
Nobusuke Kishi,writing language,Japanese
Bhargav Sri Prakash,occupation,entrepreneur
Abdul Qadeer Khan,place of burial,Faisal Mosque
Senga Nengudi,member of,Studio Z
Abulhassan Banisadr,religion,Islam
John E. Murray,military branch,United States Army
Vajiravudh,military rank,Field marshal
Chevalier de Saint-George,occupation,violinist
Nadia Chaudhri,place of birth,Karachi
Minoru Yamasaki,notable work,Pruitt–Igoe
Audie Norris,native language,Spanish
John E. Murray,military rank,major general
Sarah Polley,kinship to subject,father
Casey Spooner,affiliation,Fischerspooner
Jan Hamáček,native language,Czech
Wünschelrute,genre,poem
Mako Komuro,spouse,Kei Komuro
Joy Harjo,relative,Lois Harjo Ball
Vajiravudh,country of citizenship,Siam
Erni Mangold,languages spoken written or signed,German
Chrono Trigger,characters,Robo
rent-to-own,has part,lease
Gustavo Bou,country for sport,Argentina
Grateful Dead,has part,Vince Welnick
Arctic,RCQ classification,G
Dan McFarland,sport,rugby union
Mabuhay Gardens,located on street,Broadway
list of Tony Awards ceremonies,is a list of,Tony Awards ceremony
(RS)-cyclophosphamide,subclass of,medication
Dániel Sallói,father,István Sallói
Blisk,platform,macOS
Christopher Wenner,award received,Order of Timor-Leste
T2K experiment,has part,Super-Kamiokande
Michael Farthing,employer,St George's University of London
Hiro Matsushita,of,Swift Engineering
Julieta Venegas,writing language,Spanish
Dragonworld,production company,Full Moon Features
Arturo Labriola,native language,Italian
Jo Labanyi,employer,University of Southampton
Dragon Lee,sibling,Dralístico
Sebastian Kurz,field of work,politician
Vincenzo de Feo,native language,Italian
Nattramn,member of,Silencer
Adelaide Street Circuit,used by,motorsport
Scottish Sentencing Council,applies to jurisdiction,Scotland
equestrian at the 2020 Summer Olympics – individual jumping,end cause,eliminated
Joly Braga Santos,instrument,cello
Bhumibol Adulyadej,member of,Lay Kram
Timothée Chalamet,educated at,Columbia University
Megan Rice,occupation,nun
Louise of Sweden,noble title,Crown Princess
Galyani Vadhana,place of death,Siriraj Hospital
Lauryn Hill,writing language,Spanish
Galen Gering,native language,Spanish
Narcos,main subject,drug
