subject,relation,object
Barry White,place of death,Cedars-Sinai Medical Center
hat-trick,different from,Hat trick
Jan Suchý,country,Czechoslovakia
Adela Forestello,place of death,Rosario
Petr Esterka,award received,Gratias Agit
Diane Cook,occupation,computer scientist
Lior Raz,located in the administrative territorial entity,Judea and Samaria Area
United States Military Academy,different from,West Point
Islamic Republic of Afghanistan,head of state,Amrullah Saleh
Najiba Ayubi,country of citizenship,Afghanistan
Araneae,different from,Spiders
Pierre Kaufmann,member of,Brazilian Astronomical Society
Kay Bullitt,residence,Seattle
Chris Brown,unmarried partner,Rihanna
Yahballaha III,position held,bishop
Maryanne Confoy,occupation,nun
Linoy Ashram,native language,Russian
Mariana D'Andrea,participant in,2020 Summer Paralympics
St Kilda Football Club,home venue,Moorabbin Oval
International Union of Muslim Scholars,instance of,organization
J. R. Richard,place of death,Houston
Hishammuddin Hussein,position held,Minister of Foreign Affairs
Ennio Morricone,field of work,film score
Marvin Schwäbe,acquisition transaction,free transfer
Soerjadi Soedirdja,occupation,politician
papermaking,has effect,deforestation
Rúnar Alex Rúnarsson,acquisition transaction,loan
Ahmad Massoud,different from,Ahmad Shah Massoud
sustainable energy,replaces,fossil fuel
Levantine Arabic,writing system,Latin alphabet
Marcel Dubuisson,given name,Valère
Adolf von Glümer,military rank,lieutenant colonel
autonomous spaceport drone ship,used by,SpaceX
Mere Boynton,ethnic group,Māori
R. Aravamudan,country of citizenship,India
Gino Renni,cause of death,COVID-19
Soviet Union,subject has role,capital
Chuggaaconroy,family name,Birou
Lhasa,instance of,city
Pep Coll,occupation,teacher
Muhyiddin Yassin,given name,Sabri
Christ myth theory,significant person,Charles-François Dupuis
Ten thousand years,different from,Banzai charge
Brooke Williams,educated at,Toi Whakaari
Islamic State – Khorasan Province,chairperson,Shahab al-Muhajir
Islamic Emirate of Afghanistan,different from,Islamic Republic of Afghanistan
bunny hop,different from,letkajenkka
Sydney Magruder Washington,medical condition,attention deficit hyperactivity disorder
Julia Glushko,kinship to subject,sister
Mahmut Özer,replaces,Ziya Selçuk
Edgar Lungu,electoral district,Chawama
Reformed Christian Church in Slovakia,instance of,Lutheranism
NUK,instance of,brand
William Trench 5th Earl of Clancarty,given name,Frederick
Grant Wahl,employer,Sports Illustrated
Craig Kelly,member of political party,United Australia Party
Enactus,instance of,competition
Pierre Montaz,field of work,cable transport
Ameryst Alston,member of sports team,BC Winterthur
Chikkanapalya,located in the administrative territorial entity,Karnataka
Vujica Jevđević,occupation,hydrologist
Predicament,cast member,Mahdi Pakdel
Pierre Kaufmann,employer,University of São Paulo
David Shotter,given name,Colin
Elizabeth Anstice Baker,given name,Bessie
Nguyễn Thúy Hiền,participant in,1997 World Wushu Championships
Friedrich Höricke,languages spoken written or signed,German
Mary Ann Hanmer Dodd,occupation,poet
Elizabeth Rodrigues Gomes,occupation,paralympic athlete
Siti Sarah,languages spoken written or signed,Malay
Tim Curry,notable work,It
The Lorax,follows,Hop
Veronica Yoko Plebani,languages spoken written or signed,Italian
transport,uses,fossil fuel
Sarah Robles,participant in,2020 Summer Olympics
Leon Berkowitz,stated in,Smithsonian American Art Museum
Ion Iliescu,occupation,politician
Mere Boynton,ethnic group,Ngāi Tūhoe
Igor Kokoškov,league,Basketball Super League
Joël Cloarec,languages spoken written or signed,French
Claire Cross,member of,British Association for Local History
Sonny Chiba,occupation,stunt coordinator
Space Jam,characters,Swackhammer
Andrey Rublev,together with,Anastasia Pavlyuchenkova
Wendy Henderson,employer,University of Connecticut
Emiliano Martínez,acquisition transaction,transfer
Lewis Marnell,sport,skateboarding
Philip Rogers,occupation,civil servant
Swamp Creatures,instance of,play
Scoob!,characters,Jabberjaw
academic degree,has part,Bachelor of Science
Port Arica,located in the administrative territorial entity,Loreto
chewing gum,has part,sweetener
Commonwealth realm,different from,Commonwealth of Nations
Marcel Dubuisson,given name,Georges
Dick Billings,member of sports team,Michigan State Spartans baseball
Joel Kinnaman,kinship to subject,half-sister
IPAG Business School,headquarters location,Paris
Crewe Hall,made from material,brick
Synagoge Zürich Löwenstrasse,instance of,synagogue
Laura M. Calvi,occupation,physician-scientist
Lloyd Green,instrument,pedal steel guitar
Elizabeth Norton,doctoral advisor,Laura Gowing
Lemalu Samau Tate Simi,occupation,diplomat
cardiovascular disease,different from,Stroke
Boris Yeltsin,residence,Soviet Union
Never Never Gonna Give Ya Up,performer,Lisa Stansfield
Mere Boynton,ethnic group,Ngāti Oneone
Yulimar Rojas,sports discipline competed in,triple jump
Arsène Lupin III,languages spoken written or signed,Japanese
Rijeka railway station,operator,Croatian Railways
Tawanda Manyimo,educated at,Toi Whakaari
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,applies to part,buffer zone
Beat It,genre,hard rock
Ali Aguilar,sport,softball
Luca Flores,languages spoken written or signed,Italian
Antonio Lorenzoni,occupation,lawyer
Shelley Nitschke,country for sport,Australia
recoil,of,firearm
1980s oil glut,instance of,surplus
Martin Kocher,given name,Georg
Burak Bekaroğlu,native language,Turkish
Turnberry Lighthouse,applies to part,accommodation
The Bullfight,award received,Akutagawa Prize
Good to Be Back,producer,Dariush Mehrjui
Claude Cahun,genre,self-portrait
Mabel Luisa Caparrós,place of birth,Mar del Plata
Bill Power,given name,William
Drunken Sailor,genre,sea shanty
Sassuolo,patron saint,Saint George
Shaun Tait,country for sport,Australia
Daugavpils,of,Latvia
L'estro Armonico,instrumentation,orchestra
Herbert Dering,father,Sir Henry Dering 9th Baronet
Jan Stussy,student of,Joe Funk
Hong Beom-do,country of citizenship,Soviet Union
Mayfield Dairy,product or material produced,ice cream
Harry Ralph,given name,Edward
Tom de Bruijn,cabinet,Third Rutte cabinet
Sky Brown,languages spoken written or signed,Japanese
Guosen Securities,product or material produced,broker
Starbucks,uses,coffee bean
Cai Lun,located in the administrative territorial entity,Guiyang Commandery
HMS Gästrikland,instance of,destroyer
Paulo Vinícius de Souza Nascimento,of,FCSB
Rebekka Carlsen,sport,table tennis
Mixed Martial Arts Pakistan,founded by,Bashir Ahmad
Glades (band),country of origin,Australia
Julia Glushko,languages spoken written or signed,Russian
Raúl Albiol,of,UEFA Super Cup
Edwin Markham,genre,poetry
Pat Hitchcock,given name,Alma
Ahmedabad Metro,has part,Nirant Cross Roads
Danielle Goldstein-Waldman,place of birth,New York
Gulu Lalvani,country of citizenship,India
France,different from,Mali
Ahmedabad Metro,has part,Rabari Colony
Martin Wenning,languages spoken written or signed,German
Lynton Richards Kistler,student,June Wayne
handloading,subclass of,reloading
Buckley Space Force Base,part of,Space Operations Command
South Brunswick High School,instance of,school building
Johannes Schäfer,place of birth,Weißenfels
The Viscount of Adrilankha,narrative location,Dragaera
pedophilia,instance of,mental disorder
Gorka Elustondo,native language,Basque
Kacey Musgraves,end cause,divorce
Alfonso Álvarez Gándara,member of political party,Partido Galeguista
2021 IAAF World U20 Championships,country,Kenya
A Quiet Place: Part II,content descriptor,H
Joel Kinnaman,country,Sweden
Elizabeth Bibesco,given name,Lucy
Abdalqadir as-Sufi,affiliation,Islam
Almohad Caliphate,official language,Berber
Gary Cahill,member of sports team,AFC Bournemouth
Jeronima Nava y Saavedra,given name,Jerónima
Jonathan Ruvalcaba,award received,bronze medal
Dejan Udovičić,country for sport,Serbia
Bella Hadid,published in,Vogue
drum kit,different from,percussion
Second Cabinet of Mateusz Morawiecki,applies to jurisdiction,Poland
ICICI Prudential,product or material produced,life insurance
Beatrice Masilingi,country of citizenship,Namibia
Walter Schultz,place of birth,Lidzbark
Muhammad Hamza,academic degree,Master of Arts
Christ myth theory,significant person,Thomas L. Brodie
Jinglan Feng,occupation,mineralogist
Nerida Tyson-Chew,field of work,film score
Linoy Ashram,residence,Rishon LeZion
Pil Trafa,member of,Los Violadores
Anapela Polataivao,educated at,Toi Whakaari
sustainability,studied by,Hans Carl von Carlowitz
Physetica homoscia,host,Ozothamnus vauvilliersii
Róża Kozakowska,country of citizenship,Poland
Investor AB,instance of,holding company
The Incredibles,place of publication,BFI London Film Festival
Brian Henderson,cause of death,kidney cancer
Roman Dobrokhotov,award received,Journalism as a Profession
In Search of Lost Time,genre,novel
Sabah,language of work or name,Malay
Margot Arnold,family name,Crouch
Snowdon Mountain Railway,instance of,rack railway
Kieran Gibbs,member of sports team,Inter Miami CF
Laboratoria,language of work or name,Spanish
Tessy Antony de Nassau,spouse,Frank
General Grievous,from narrative universe,Star Wars
Con-way,subsidiary,Contract Freighters Inc.
Space Systems Command,part of,Air Force Systems Command
Margaretta Louisa Lemon,sex or gender,male
Yusuf Grillo,occupation,painter
Jodensavanne internment camp,country,Surinam
Enoch Godongwana,position held,Minister of Finance
Marcel Brandt,languages spoken written or signed,German
László Skultéty,place of burial,Mojtín
Lynton Richards Kistler,student,Jan Stussy
Toy Story 2,characters,Wheezy
Teresa Żylis-Gara,award received,Legion of Honour
Tim Hecker,country of citizenship,Germany
João Mário,of,S.L. Benfica
Dušan Miletić,occupation,basketball player
Wolfgang Huber,occupation,environmental medicine
Elizabeth Bibesco,given name,Lotte
Hakatanomori Football Stadium,location,Fukuoka
Alise Fakhrutdinova,country for sport,Uzbekistan
Chiswick High Road,part of,South Circular Road
Sophia Thiel,given name,Laura
Ryan Reynolds,place of marriage,British Columbia
Brigadier Cedric Wallis,occupation,military officer
Caspian Sea,instance of,lake
Pablo Marí,member of sports team,Clube de Regatas do Flamengo
Devata,part of,Hinduism
Matěj Blümel,sport,ice hockey
Penn Badgley,unmarried partner,Zoë Kravitz
over-consumption,has effect,extinction
Sarah Speight,award received,National Teaching Fellowship
Ana Buenaventura Mocoroa,employer,National Technological University
Joseph Boczov,language of work or name,Hungarian
pedophilia,different from,hebephilia
Terre Haute,instance of,county seat
Taliban,headquarters location,Pakistan
P.J. Proby,occupation,recording artist
Chang Chin-cheng,position held,Member of the Legislative Yuan
Bernard Pierre Wolff,stated in,maison européenne de la photographie
Antonio Lorenzoni,country of citizenship,Kingdom of Italy
Ursula Kraus,place of death,Wuppertal
William Trench 5th Earl of Clancarty,given name,le Poer
Emily Perkins,educated at,Toi Whakaari
Minions,character role,Gru
2020 Nagorno-Karabakh war,location,Azerbaijan
Tom de Bruijn,occupation,politician
Leap Day,platform,iOS
Marcell Jacobs,award received,gold medal
George Regout,language of work or name,Spanish
Esther Weber-Kranz,languages spoken written or signed,German
Fernando Amorebieta,member of sports team,Club Atlético Independiente
Chavelit,occupation,folklorist
Kurt Biedenkopf,place of death,Dresden
Cecil Arthur Butler,country of citizenship,Australia
ICICI Prudential,instance of,insurance company
Free Guy,cast member,Alex Trebek
Sarah McKim,child,Lucy McKim Garrison
Nanci Griffith,place of death,Nashville
Gerard Moreno,of,UEFA Super Cup
Islamic Republic of Afghanistan,position held,President of Afghanistan
L'estro Armonico,instrumentation,cello
Psittacus,taxon author,Carl Linnaeus
John Farrow,notable work,Night Has a Thousand Eyes
J. H. Shennan,of,University of Lancaster
group 12,has part,zinc
Mississippi River Trail,located in the administrative territorial entity,Illinois
NAVI,language of work or name,Belarusian
Planeta U,language of work or name,Spanish
Salah Zulfikar,military rank,lieutenant colonel
Hristo Stoichkov,subject has role,advisor
Thomas Radclyffe 3rd Earl of Sussex,position held,Lord Chamberlain
24 Hours in A&E,main subject,emergency department
Mirco Gerson,sport,beach volleyball
Herbert Dering,given name,Guy
Belarus Olympic Committee,director / manager,Alexander Lukashenko
John Farrow,notable work,Hondo
Ali Ahmad Jalali,languages spoken written or signed,Pashto
Aimé Halbeher,member of,General Confederation of Labour
Javier Hernández,league,Major League Soccer
Association of Chartered Certified Accountants,different from,Acca
Sophie Schwartz,occupation,neuroscientist
Girl Reading a Letter at an Open Window,depicts,Cupid
Baldomero Falcone,place of birth,Hindang
Jeannine Mukanirwa,country of citizenship,Democratic Republic of the Congo
Jan Stussy,has works in the collection,Oakland Museum of California
Francisco Weffort,place of death,Rio de Janeiro
catalytic converter,instance of,part
YJ-83,said to be the same as,C-802
Books Kinokuniya,named after,Kii Province
Anapela Polataivao,country of citizenship,New Zealand
Gonçalo Loureiro,native language,Portuguese
Ahmad Massoud,father,Ahmad Shah Massoud
Yevhen Marchuk,cause of death,COVID-19
unidentified flying object,different from,UFO
Ng Ka Long,given name,Angus
Gérard Théry,place of death,Paris
Calabria,part of,South Italy
Tullio Levi-Civita,writing language,Italian
Jeff Radebe,position held,Minister of Public Enterprises
Chrysler Cirrus,different from,Chrysler Sebring
Manuela Picq,employer,Universidad San Francisco de Quito
Liu Yuan,sport,table tennis
mixing console,different from,Mixer
Henry Lintott,given name,Bevis
Governments of the 30th Dáil,is a list of,Government of Ireland
Gavri Devi,occupation,singer
Belarus Olympic Committee,official language,Belarusian
Kentucky,different from,Louisville
Saib Shawkat,place of birth,Baghdad
Islamic Emirate of Afghanistan,replaces,Abdullah Abdullah
Unmukt Chand,country for sport,India
Golden Gate Park,criterion used,C
MixRadio,operating system,Tizen
Finns Party,chairperson,Riikka Purra
Dan Vîlceanu,position held,Minister of Finance
Samia Adam,place of birth,Palo Alto
Alexei Navalny,occupation,activist
Ruud Gullit,coach of sports team,LA Galaxy
Matisse Thybulle,participant in,2020 Summer Olympics
Torry McTyer,country of citizenship,Kansas
Camilla Kallab,country of citizenship,Austria
Cassiel Rousseau,country of citizenship,Australia
Don Quartermain,conflict,World War II
Original Ai,record label,Universal Music Group
Ricky Rubio,member of sports team,Cleveland Cavaliers
Hakim Ziyech,of,UEFA Super Cup
Islamic Republic of Afghanistan,significant event,War in Afghanistan
Adriana Leon,member of sports team,Florida Gators women's soccer
Marin Čilić,together with,Ivan Dodig
Domain Name System,different from,DNS
Francis Bedford,occupation,bookbinder
Germany national association football team,head coach,Hansi Flick
Sadigura,operating area,Bnei Brak
jaundice,different from,viral hepatitis
Jing Wang,languages spoken written or signed,Chinese
Marvin Schwäbe,member of sports team,1. FC Köln
Ashleigh Barty,together with,John Peers
Denis Alibec,member of sports team,CFR Cluj
Dalal Abdel Aziz,cause of death,COVID-19
Hashi Benkei,instance of,noh play
Ibrahim Šehić,member of sports team,Konyaspor
Hishammuddin Hussein,replaced by,Muhyiddin Yassin
Gérard Théry,field of work,Minitel
Assetto Corsa Competizione,platform,PlayStation 5
Henry Martyn Field,place of birth,Stockbridge
Alaa Najjar,occupation,Wikimedian
Hiroki Sakai,member of sports team,Urawa Red Diamonds
Chatham Center,located in the administrative territorial entity,Pittsburgh
In Deep,place of publication,Australia
The Great Muppet Caper,follows,The Muppet Movie
IPCC Fourth Assessment Report,publisher,Intergovernmental Panel on Climate Change
Claudio Trezzani,languages spoken written or signed,Italian
Paralympic Games,language of work or name,Spanish
Despicable Me 2,followed by,Minions
Towarzysz,different from,comrade
Leon Kopelman,place of death,Israel
David Fane,educated at,Toi Whakaari
Yoshiko Iwamoto Wada,student,Ana Lisa Hedstrom
Luigi Paleari,languages spoken written or signed,Italian
East-East,country,Lithuania
Denha I,religion,Church of the East
Florida State Seminoles women's basketball,instance of,basketball team
Jung Heon,occupation,model
Mapinduzi Cup,country,Zanzibar
María Elisa Castro,educated at,National University of Tucumán
sustainable energy,part of,sustainability
Diego Rico,member of sports team,Real Sociedad
Gale's,owned by,Nestlé
Islamic Republic of Afghanistan,replaced by,Islamic Emirate of Afghanistan
Bobby Bowden,cause of death,pancreatic cancer
Ghawazi,subclass of,dancer
San Zacarías,different from,Zechariah
The Tower of the Elephant,published in,Conan
Siti Sarah,place of birth,Ipoh
Elvira Moya de Guerra,employer,University of Extremadura
Britney Spears,unmarried partner,Madonna
Jon Aurtenetxe,languages spoken written or signed,Basque
Hattorizakura Futoshi,sport,sumo
Dozhd,genre,information
ice hockey,different from,ice polo
Requiem,instrumentation,soprano
Mike Tobey,participant in,2020 Summer Olympics
Alfonso Álvarez Gándara,member of political party,Galician Socialist Party
Gulu Lalvani,relative,Tej Lalvani
Walter Clegg,place of birth,Bury
Óscar García Junyent,coach of sports team,Stade de Reims
Palestine,country,Israel
Crewe Hall,made from material,slate
Iñigo Córdoba,member of sports team,Go Ahead Eagles
Larry Nassar,located in the administrative territorial entity,Michigan
truck driver,item operated,large goods vehicle
Alioune Badara Cissé,place of death,Dakar
Jeremy McConnell,country of citizenship,Ireland
Samuel Gordon,place of birth,Buk
Zanac,platform,Family Computer Disk System
Islamic Republic of Afghanistan,has cause,Fall of Kabul
brigadier,said to be the same as,colonel
Hristo Stoichkov,coach of sports team,Celta Vigo
Frances Gray Patton,educated at,Duke University
Crewe Hall,significant event,reconstruction
Qingdao Metro,has part,Hall of the People station
Martin Ødegaard,acquisition transaction,transfer
Panditrao Agashe,place of birth,Pune
Margaretta Louisa Lemon,place of birth,Hythe
Sabina Ajrula,place of death,North Macedonia
Salvador Dalí,languages spoken written or signed,Catalan
Anantasak Panyuthapum,sport,Muay Thai
Shi Xiaolin,sex or gender,male
Selena Gomez,located in the administrative territorial entity,Texas
Apollo Theater,criterion used,C
2013 DreamHack SteelSeries Counter Strike: Global Offensive Championship,sport,esports
Kind of Blue,genre,jazz
Sulawesi,different from,Celebes
Illia Yaremenko,occupation,swimmer
100 Thieves,headquarters location,Los Angeles
Alexander Roitburd,country,Ukraine
June Wayne,student of,Lynton Richards Kistler
Alex Saab,occupation,diplomat
U.S. Bicycle Route 76,located in the administrative territorial entity,Colorado
Mahmut Özer,occupation,electrical engineer
Squidward Tentacles,present in work,The Patrick Star Show
Jean-Pierre Pichard,languages spoken written or signed,French
Gernika,different from,Guernica
Glenn McGrath,country for sport,Australia
James George Mackenzie,military branch,Royal Navy
Paul Elias Alexander,educated at,McMaster University
Camille Pissarro,relative,Claude Bonin-Pissarro
Transbaikal State University,language of work or name,Russian
Danone North America,parent organization,Dean Foods
Casimir III the Great,different from,Kazimierz Wielki
Little Honey,genre,Americana
John Mitchell,place of death,Rochdale
David Shotter,given name,Arthur
Jan Oblak,position played on team / speciality,goalkeeper
Steve Kline,object has role,name
New Salem,subject has role,census-designated place
Joaquín Villalón Díez,languages spoken written or signed,Spanish
Atul Gawande,inferred from,The New Yorker
Claudius James Erskine,occupation,judge
The Adventures of Tom Sawyer,form of creative work,novel
Frances Gray Patton,place of death,Durham
Bill Leavy,place of birth,Santa Barbara
Reg Grundy Organisation,owned by,Pearson Television
Leon Berkowitz,educated at,University of Pennsylvania
Elizabeth Tudor,country of citizenship,Azerbaijan
Microsoft Solitaire Collection,replaces,FreeCell
Edina,has part,Lewis Park
Bathala,country,Philippines
Adolf von Glümer,conflict,Austro-Prussian War
Jeronima Nava y Saavedra,occupation,writer
Palestine,named after,Jacob
Joseph R. Gannascoli,occupation,cook
Jenna Suokko,member of sports team,Ilves Naiset
Zé Pereira dos Lacaios,country,Brazil
Paolo Viganò,languages spoken written or signed,Italian
Samuel Okudzeto Ablakwa,place of birth,Aveyime-Battor
Ley line,different from,Layline
U.S. Bicycle Route 50,partially coincident with,U.S. Bicycle Route 21
Stan Rodger,place of birth,Dunedin
Plötzensee Prison,different from,Berlin
Carl Oluf Jensen,place of death,Middelfart
Fremantle Football Club,home venue,Fremantle Oval
Pichaya Kurattanasiri,sport,athletics
Back to Black,genre,jazz
archaeological site,different from,Broch
Ahmad Shah Massoud,different from,Ahmad Massoud
Harris G. Cope,member of sports team,Sewanee Tigers football
Judy Kensley McKie,academic degree,painting
Indian Labour Corps,country,British India
human skeleton,has parts of the class,bone
Hinsa Siburian,languages spoken written or signed,Indonesian
Alona Barkat,country,Israel
Islamic Republic of Afghanistan,determination method,estimate
Nicole M. Gerardo,occupation,entomologist
Christina Ricci,end cause,divorce
Taliban,interested in,sharia
You're My World,genre,easy listening
Marcus Paus,field of work,film score
forum selection clause,main subject,jurisdiction
The State of the Art,takes place in fictional universe,The Culture
Holly Smale,medical condition,hyperlexia
Cork Marcheschi,occupation,sculptor
Harpers Ferry,shares border with,Bolivar
Tai Baribo,country for sport,Israel
Antichrist,opposite of,Jesus
photosynthesis,uses,sunlight
Any Gabrielly,native language,Portuguese
Relax,part of,Welcome to the Pleasuredome
academic degree,has part,Bachelor of Business Administration
Shang-Chi and the Legend of the Ten Rings,cast member,Jodi Long
Vera Zelinskaya,occupation,production designer
Silvia Rodríguez Villamil,occupation,activist
MixRadio,operating system,Harman Kardon
double electron capture,subclass of,double beta decay
Rowntree Mackintosh Confectionery,instance of,business
Polly Waffle,instance of,brand
The Jim Henson Company,owner of,Fraggle Rock
Milwaukee Road class EF-4 and EP-4,operator,Brazil
Balázs Orbán,occupation,political scientist
The Last Roundup,has part,Oh Play That Thing!
Cigarettes After Sex,location of formation,El Paso
Hong Beom-do,country,Soviet Union
Islamic Republic of Afghanistan,head of government,Abdullah Abdullah
Insular Oceania,instance of,area
Mario Arisio,languages spoken written or signed,Italian
Megan Rapinoe,award received,bronze medal
Afghanistan,applies to part,regional language
Neal Conan,cause of death,glioblastoma
Prague,capital of,Bohemia
José Berríos,member of sports team,Toronto Blue Jays
Youthful Days,country of origin,Iran
V-2 rocket,different from,V2
Aimee Knight,medical condition,attention deficit hyperactivity disorder
Nguyễn Thúy Hiền,participant in,2001 Southeast Asian Games
Cole Pratt,country of citizenship,Canada
Zoë Lund,mother,Barbara Lekberg
Herbert Morrison,replaces,Ernest Bevin
Dimitris Kitsikis,field of work,geopolitics
Sabina Ajrula,native language,Turkish
Christopher Anstey,country,Great Britain
Sikandar Raza,country for sport,Zimbabwe
Christ myth theory,facet of,historicity of Jesus
Bangladesh,official religion,Islam
John Mitchell,given name,Whitehead
Lior Raz,country,Israel
South Asia,has part,Bangladesh
Soerjadi Soedirdja,place of death,Jakarta
Chto Delat?,has part,Aleksandr Skidan
Pietro Pinna Parpaglia,member of,National Council
Darah-ye Rustam,instance of,valley
A Sleep of Prisoners,instance of,play
Turnberry Lighthouse,made from material,iron
Antonio Lorenzoni,country of citizenship,Italy
Gretna Green railway station,operator,Glasgow Dumfries and Carlisle Railway
MewithoutYou,has part,Aaron Weiss
Yves de Wasseige,place of death,Marcinelle
Joanie Loves Chachi,based on,Happy Days
Islamic Emirate of Afghanistan,determination method,estimate
Alison Hale,residence,Westport
Billy Power,conflict,World War II
Leap Day,platform,Android
Space Systems Command,part of,Air Force Materiel Command
Brisbane Lions,home venue,Hickey Park
Graham Yallop,country for sport,Australia
Takuya Kai,country for sport,Japan
Branco van den Boomen,member of sports team,Willem II
Fernando Amorebieta,languages spoken written or signed,Basque
Anthony Mahoungou,sport,American football
Zach LaVine,participant in,2020 Summer Olympics
NS 4300,country,Netherlands
Betsy Rivers Jackes,employer,James Cook University
Kenai,applies to part,land
Ryszard Jarzembowski,place of death,Włocławek
John Mitchell,place of birth,Rochdale
Don Quartermain,country of citizenship,Australia
Despicable Me 3,follows,Sing
luminiferous aether,different from,Eter
Lucien Henry,given name,Félix
American Psychological Association,different from,American Psychiatric Association
Kerstin Brachtendorf,country,Germany
Hellas Verona F.C.,head coach,Eusebio Di Francesco
Muhammad Hamza,educated at,University of the Punjab
L'estro Armonico,language of work or name,Italian
Henry Brose,spouse,Jean Robertson
Tai Baribo,country,Israel
Mithun Ali,country for sport,Bangladesh
Ukrainian orthography of 1928,instance of,spelling
Lydia von Wolfring,father,Emil von Wolfring
Fabio Wagner,languages spoken written or signed,German
Magdalena Godia Ibarz,place of death,Lleida
Back to Black,genre,soul music
Andrew Cuomo,replaced by,Kathy Hochul
Sean Lock,publisher,The Guardian
Catherine of Braganza,country,Portugal
Austen Fox Riggs,place of death,Stockbridge
DJ Nira,sport,professional wrestling
Sir William Pryke 1st Baronet,given name,Rob
Youth With You 2,instance of,competition
Robert Valley,place of birth,British Columbia
Second Karzai cabinet,of,Afghanistan
Antonio Te Maioha,academic degree,Bachelor of Performing Arts (Acting)
list of monarchs of Persia,country,Iran
galley,different from,Galera
Lozada,different from,Córdoba
Section 28,country,United Kingdom
Joseph Boczov,native language,Hungarian
Pisagua Department,country,Chile
Mayfield Dairy,product or material produced,milk
Elizabeth Bibesco,family name,Asquith
Mike Carey,place of birth,San Diego
Heldur,language of work or name,Estonian
Michael Cullen,place of death,Whakatāne
Ristinarkku,located in the administrative territorial entity,Tampere
Jessica Hull,participant in,2020 Summer Olympics
UConn Huskies men's soccer,league,NCAA Division I men's soccer
pop music,different from,Disco
Crewe Hall,applies to part,reconstruction
Damon Andrews,educated at,Toi Whakaari
Kai Havertz,of,UEFA Super Cup
Gaston Browne,position held,Minister of Finance
Gaia Weiss,languages spoken written or signed,Polish
Gorka Elustondo,languages spoken written or signed,Spanish
Jeļena Ostapenko,participant in,2020 Summer Olympics
Travellers,country of origin,Ireland
Greater Israel,has part,Palestine
Vega,instance of,brand
Dixie Flyer,located in the administrative territorial entity,Florida
Mel Baggs,given name,Evelyn
Category:Magic words,different from,Como
Pity Martínez,league,Major League Soccer
Sergei Kovalev,place of death,Soviet Union
María Elisa Castro,place of birth,Añatuya
Carma Citrawati,country of citizenship,Indonesia
Star Wars music,main subject,John Williams
Christian Bale,notable work,Terminator Salvation
El Algar,located in the administrative territorial entity,Cartagena
Dimitris Kitsikis,field of work,international relations
Andrei Kalina,country of citizenship,Russia
Johannes Cernota,languages spoken written or signed,German
SubEthaEdit,copyright license,MIT license
Yo Frankie,producer,Dave Edmunds
The Tower of the Elephant,applies to part,Conan
South Asia,has part,India
Mikie Tasei,sport,table tennis
Anna Krivshina,place of birth,Ozyorsk
2020 Summer Paralympics,language of work or name,Russian
Nguyễn Thúy Hiền,participant in,2003 Southeast Asian Games
Star Wars music,object has role,composer
automatic firearm,different from,machine gun
Jordyn Poulter,place of birth,Naperville
Indonesia,located in/on physical feature,Southeast Asia
Zibane Ngozi,country for sport,Botswana
Shane Warne,country for sport,Australia
U.S. Bicycle Route 21,terminus location,Cincinnati
Amrullah Saleh,country of citizenship,Kingdom of Afghanistan
Soumaya Ouerghi,position played on team / speciality,goalkeeper
Qutbism,significant person,Sayyid Qutb
Donald Arthur,place of birth,Northampton
Evelyn Anthony,given name,Patricia
Tom T. Hall,located in the administrative territorial entity,Kentucky
television licence,subclass of,tax
Jimmy Wales,notable work,Wikipedia
Wilfried Van Moer,place of death,Leuven
Mamadouba Toto Camara,country of citizenship,Guinea
Stella Ndabeni-Abrahams,position held,Minister of Small Business Development
Caduceus,instance of,symbol
Flying Passion,country of origin,Iran
Beirut,patron saint,Saint George
Shelley Duvall,unmarried partner,Dan Gilroy
Ezz El Dine Zulficar,sibling,Mahmoud Zulfikar
Stefano Morona,languages spoken written or signed,Italian
Mohammed Ghazali,country for sport,Pakistan
Borden Dairy Company,significant event,bankruptcy
human sacrifice,followed by,race
Thea White,family name,Zitzner
Kieran Gibbs,of,Inter Miami CF
Callan Elliot,educated at,Nelson College
Operation Cyclone,country,Afghanistan
Muhyiddin Yassin,position held,Prime Minister of Malaysia
Sydney Magruder Washington,medical condition,major depressive disorder
The Alchemist,genre,novel
bolívar,different from,Bolivar
Nguyễn Thúy Hiền,award received,bronze medal
Vivo,producer,Lisa Stewart
Space Jam,characters,Daffy Duck
Vivo,distributed by,Netflix
Cai Lun,place of birth,Leiyang
Second Karzai cabinet,country,Afghanistan
Iraq,different from,Kurdistan
Joan Sparkes,sport,bowls
Lorae Parry,educated at,Toi Whakaari
Christ myth theory,significant person,Robert M. Price
Wyandot people,different from,Huron
European Anti-Fraud Office,different from,Olaf
Britney Spears,child,2
Nguyễn Thúy Hiền,participant in,1998 Asian Games
Come and Get It,lyrics by,Paul McCartney
Buckley Space Force Base,military branch,United States Space Force
group 15,has part,bismuth
Halenijagal,located in the administrative territorial entity,Karnataka
La Vie en rose,object has role,CO
Jay Cutler,end cause,divorce
Pilsen,subject has role,census-designated place
Neta Rivkin,country for sport,Israel
Honora Enfield,given name,Alice
Antonio Banderas,family name,Domínguez
La Vie en rose,performer,Marianne Michel
U.S. Bicycle Route 50,partially coincident with,Ohio to Erie Trail
Tanisha Crasto,country of citizenship,India
