subject,relation,object
Ernst Frederik von Walterstorff,educated at,University of Copenhagen
Henry VI Part 2,form of creative work,play
Namdev Kamble,award received,Padma Shri
Ruth Ann Minner,family name,Coverdale
Verma module,symbol represents,weight
Aron Winter,country for sport,Netherlands
Santosham Best Editing Award,part of,Santosham Film Awards
Keith Fleming,sibling,Ian Fleming
Eric Wood,member of,Royal Society of Canada
William Montagna,occupation,biologist
The Last Duel,set in environment,castle
Dolpa District,language of work or name,Nepali
Alexandria,publisher,United States Census Bureau
Sajha Puraskar,instance of,award
Uwe Johnson Prize,language of work or name,German
Boris Chichkov,academic major,physics
Damian Strătilă,sport,rugby
Antonio Scuero,native language,Italian
The Incident,form of creative work,song cycle
The Story of Mankind,intended public,child
The Seafarer,form of creative work,play
Calvados,direction relative to location,east
Louis Nirenberg,interested in,differential geometry
Dragon Warrior II,followed by,Dragon Quest III
Leonid Pilunsky,country of citizenship,Ukraine
phytobenthos,subclass of,autotroph
Francis Sumner Merritt,employer,Haystack Mountain School of Crafts
George Izard,country,Kansas
High Court of Justiciary,work location,Dumbarton
Bastian Schweinsteiger,child,2
Ant Anstead,given name,Richard
Linley Halt railway station,historic county,Shropshire
Nyrok City,author,Mauri Kunnas
Position sensitive device,of,light
Qaisuddin,place of burial,Rajshahi University
Eternals,voice actor,Bill Skarsgård
George Rawle,place of death,Essendon
1979 European Indoor Championships,surface played on,carpet court
John Kinsella,place of death,Dublin
Hadlow,located in the administrative territorial entity,Timaru District
Sajha Puraskar,conferred by,Sajha Publications
Jean-Pierre Schumacher,place of death,Midelt
Muriel Lezak,place of birth,Illinois
A Midsummer Night's Dream,form of creative work,play
William Stebbins Barnard,employer,Drake University
Touhou Gouyoku Ibun,developer,Twilight Frontier
Sandor Zicherman,language of work or name,Hungarian
Robert Amory,father,James Sullivan Amory
L'Wren Scott,given name,Luann
Bohemia,direction relative to location,east
Hugo Zwillenberg,languages spoken written or signed,German
Navid Mahmoudi,occupation,film director
Pascal Malbeaux,languages spoken written or signed,French
Shon Weissman,located in the administrative territorial entity,Haifa
Quiché,native language,K’iche’
Dustin Hodge,notable work,Little Britches Rodeo
Ezekiel,languages spoken written or signed,Aramaic
John Luxton,spouse,Mary Scholtens
RZA,significant person,Sophia Chang
Tiberiu-Liviu Chodan,languages spoken written or signed,Romanian
Oedipus,form of creative work,play
William Stebbins Barnard,educated at,University of Michigan
rhodocene,has part,cyclopentadienide
George Washington Carver,interested in,botany
Anti-Counterfeiting Trade Agreement,signatory,European Union
Mattavilasa Prahasana,form of creative work,play
Laurent Wauquiez,employer,Emlyon Business School
Michael Cresap,place of death,New York City
Afghan Civil War,country,Afghanistan
Domingo Tristán y Moscoso,sibling,Pío de Tristán
Pontus Carlsson,language of work or name,Spanish
The Colour of Money,cast member,Millie Clode
Alana Alexander,doctoral advisor,Scott Baker
Seong Moy,collection creator,Museum of Modern Art
Yunomae Line,terminus,Yunomae Station
Miguel Martínez de Hoz,military rank,colonel
George Frederick Prince of Nassau-Siegen,chivalric order,Order of the Elephant
Luigi Reitani,interested in,Friedrich Hölderlin
Plack,uses,PSGI
Melissa J. Moore,academic major,biochemistry
Lee Ha-rim,native language,Korean
Naruto,characters,Madara Uchiha
The Giving Tree,intended public,child
Tor Eckhoff,place of death,Ullevål University Hospital
Ducted propeller,discoverer or inventor,Ludwig Kort
Curlew Sandpiper,original combination,Tringa ferrugineus
87 Clockers,instance of,manga series
Adejoke Tugbiyele,place of birth,Brooklyn
Milutin Mrkonjić,place of death,Belgrade
Herbert Womersley,employer,Linnean Society of London
Rigveda,has quality,revelation
Repulsion,set in environment,apartment
The Horror in the Museum,form of creative work,short story
fusion power,uses,nuclear fusion
Mother Love,cast member,Diana Rigg
Kanyasulkam,form of creative work,play
blacknose shark,original combination,Squalus acronotus
Peter Szurman,interested in,ophthalmology
Judith Colell,educated at,New York University
TV5 Network,business division,News5
Hans Herrmann,student of,Eugen Dücker
AnnoZero,cast member,Michele Santoro
Speer Goes to Hollywood,original language of film or TV show,German
Philip Margo,place of death,Los Angeles
Ontario Highway 417,direction,east
Quality Street,form of creative work,play
Alexander Bereznyak,subject has role,designer
Thunder Rock,form of creative work,play
John Luxton,place of death,Wellington
Magneto,enemy of,Professor X
Kaihan Ozcicek-Takagi,country for sport,Japan
Raasi,composer,Sirpy
Caligula,form of creative work,play
Maxime Destremau,languages spoken written or signed,French
Orlando finto pazzo,based on,Orlando Innamorato
Freer Gallery of Art,criterion used,C
Robledo,different from,Cerro Blanco
William Anderson,occupation,cricketer
Joseph A. McChristian,educated at,United States Military Academy
Belfry of Brussels,country,Belgium
Old Yue,instance of,language
Superman logo,applies to part,border
Rapid City,applies to part,land
Marie Alix Duchess of Schleswig-Holstein,place of death,Thumby
Harriette Lucy Robinson Shattuck,occupation,author
stock exchange,uses,open outcry
William E. Potts,academic major,advanced management
Desperados,production company,Good Universe
Pnyx,location,Athens
Wuhu Rail Transit,has part,Line 1
György Magyar,occupation,politician
Max and Paddy's Road to Nowhere,cast member,Peter Kay
Kayla Barron,astronaut mission,SpaceX Crew-3
Antonio and Mellida,form of creative work,play
Anti-Counterfeiting Trade Agreement,signatory,New Zealand
Root Into Europe,cast member,George Cole
Sylvère Lotringer,writing language,French
Daniel Kimball Pearsons,place of birth,Bradford
James Watson Bain,occupation,chemist
U.S. Route 27,located in the administrative territorial entity,Indiana
Naruto,characters,Kakashi Hatake
Yulia Svyrydenko,position held,Minister of Economy of Ukraine
Cloudy with a Chance of Meatballs,intended public,child
Marieke Nivard,sport,golf
Pop Levi,given name,Jon
Tom Re,conflict,World War II
The Gospel Bill Show,cast member,Willie George
John Mayer,unmarried partner,Jessica Simpson
Timothy Field Allen,place of birth,Westminster
Miguel Penteado,country of citizenship,Brazil
Hierodoris squamea,taxon synonym,Gymnobathra nigra
Thomas Henry Huxley,interested in,zoology
Maria Aparecida Godoy,place of birth,Guaratinguetá
Sabatinca weheka,host,Plagiochila deltoidea
William Parish Chilton,place of burial,Oakwood Cemetery
Lu Jun Hong,educated at,UNSW Business School
Palace Theatre,located on street,Broadway
cycling in Manchester,location,Greater Manchester
Confirmation,of,Twilight Time
Andy Warhol,collection creator,Museum of Modern Art
Anne-Élisabeth Moutet,languages spoken written or signed,French
Charles W. Thomas,academic major,zoology
Association for Educational Communications and Technology,headquarters location,Bloomington
Brandenburg,direction relative to location,northwest
Desperados,cast member,Lamorne Morris
Veneto,inferred from,Italy
F. Ann Millner,of,Weber State University
Freddie Ljungberg,languages spoken written or signed,Swedish
Abram Avdalimov,country of citizenship,Russia
Fok It,instance of,comic strip
Hartmut Hopp,languages spoken written or signed,German
Thomas Henry Huxley,reason for deprecation,redirect
Mikhail Sobolev,country of citizenship,Russia
Adejoke Tugbiyele,residence,Ouagadougou
Mario Girotti,languages spoken written or signed,Italian
Ernest Cowdrey,occupation,cricketer
Anna Ayşe Akasoy,languages spoken written or signed,German
Matthew Laflin,place of burial,Rosehill Cemetery
Robert Indiana,collection creator,Museum of Modern Art
Nicolaus Copernicus,interested in,astronomy
Terakado Seiken,country of citizenship,Japan
Heliostibes vibratrix,host,Nothofagus truncata
Vijay,native language,Tamil
Mrs. Warren's Profession,form of creative work,play
Coaltar,country,Ghana
Monsters Inc.,characters,Celia Mae
Reet Petite,producer,Dick Jacobs
Getir,industry,delivery
Dave Hickey,place of death,Santa Fe
Ahmad Gumi,religion,Islam
Zuhair Ramadan,country of citizenship,Syria
Richard III,form of creative work,play
binomial coefficient,symbol represents,factorial
Edmea,genre,opera
Vasant Panchami,observed in,India
Opu Daeng Risadju,languages spoken written or signed,Indonesian
USS LST-359,operator,United States Navy
John Varley Roberts,occupation,organist
West Looe,legislative body,House of Commons
Sebastián Driussi,league,Major League Soccer
Renato Zanettovich,languages spoken written or signed,Italian
Jessica Yu,residence,Los Angeles
The Crawling Chaos,form of creative work,short story
Yoon Seok-youl,language of work or name,Korean
Song and Dance Man,intended public,child
Barry Sadler,cause of death,cardiac arrest
Psylocke,enemy of,Shadow King
Ring,has part,Tide
Martina Clavadetscher,for work,Knochenlieder
Andrew Leith Adams,military rank,surgeon-major
Alexander Turner,occupation,judoka
Confirmation,form of creative work,contrafact
1981 Egyptian Open,surface played on,clay court
Rosa 'Shropshire Lass',creator,David C. H. Austin
Winter Break,cast member,Milo Ventimiglia
Gary Lineker,native language,Spanish
Dragon 2,has parts of the class,Crew Dragon
Mystery Case Files,developer,Big Fish Games
Lady Isobel Gathorne-Hardy,given name,Constance
washing machine,uses,water
Jiří Srnec,language of work or name,Czech
1990 Danone Hardcourt Championships,located in the administrative territorial entity,Brisbane
High Court of Justiciary,work location,Aberdeen
Budiman Sudjatmiko,residence,Central Jakarta
Ernst Frederik von Walterstorff,noble title,count
Mako Komuro,academic major,cultural heritage
Medibank Private,stock exchange,Australian Securities Exchange
Raphael Warnock,residence,Atlanta
Martina Clavadetscher,notable work,Knochenlieder
Economic League,merged into,Liberal State Party
Norihito Isoda,country of citizenship,Japan
Frank Abagnale,present in work,Catch Me If You Can
Salman Zarka,country,Israel
Ruth Ann Minner,place of death,Milford
János Murkovics,place of birth,Bučkovci
1980 Irpinia earthquake,located in the administrative territorial entity,Conza della Campania
Naraka Chaturdashi,part of,Diwali
Joann Downey,academic major,political science
Harb (tribe),ethnic group,Qahtanite
Sabatinca weheka,type locality (biology),Lake Matheson
Bill Virdon,place of death,Springfield
paksha,facet of,Hindu calendar
Koray Çalışkan,position held,professor
Winter Break,cast member,Eddie Kaye Thomas
Jessica Watkins,member of the crew of,SpaceX Crew-4
Wakayama Castle (Suō),country,Japan
Leon Shenandoah,place of birth,Hemlock Creek
Geneviève Halévy,location,Paris
The Tragical History of Doctor Faustus,form of creative work,play
Sly Stone,member of,Sly and the Family Stone
Age of Empires III,followed by,Age of Empires IV
Theater Tuschinski,language of work or name,Dutch
Włodzimierz Tylak,languages spoken written or signed,Polish
Ronald Bladen,collection creator,Museum of Modern Art
machine-readable travel document,described by source,ICAO Document 9303
Nir Bitton,country for sport,Israel
Oligochaetocystinae,taxon rank,subfamily
Aseprite,operating system,macOS
Vittorio Sogno,languages spoken written or signed,Italian
odds,symbol represents,probability
Martina Clavadetscher,award received,Swiss Book Prize
Namdev Kamble,country of citizenship,India
The Countess Cathleen,author,William Butler Yeats
Galyani Vadhana,spouse,Varananda Dhavaj
Harold and the Purple Crayon,intended public,child
tilde,depicted by,~
Mathieu Jussaume,languages spoken written or signed,French
Richard Ramsbotham,occupation,cricketer
Hedda Gabler,form of creative work,play
Maximinus Daza,child,Maximus
Ricardo Wellbach,place of birth,Veinticinco de Mayo
Emmanuelle Millet,languages spoken written or signed,French
1979 European Indoor Championships,located in the administrative territorial entity,Cologne
Francis Wang Xue-ming,diocese,Roman Catholic Archdiocese of Suiyuan
Tokyo Big6 Baseball League,home venue,Meiji Jingu Stadium
An Inspector Calls,form of creative work,play
Giasone,genre,opera
The Peach Blossom Fan,form of creative work,play
Vijay Kumar,place of birth,Chennai
Champion,part of the series,Legend
Edward Gierwiallo,languages spoken written or signed,Polish
Andre Jacque,replaces,Caleb Frostman
Plantungan concentration camp,instance of,internment camp
David McFarlan,country for sport,Scotland
William Estel Potts,academic degree,Master of Education
Marko Dijakovic,place of birth,Austria
Hakeem Oluseyi,end cause,honorable discharge
Pat Serret,occupation,tennis player
Intimate Exchanges,form of creative work,play
Bristol,publisher,United States Census Bureau
Jawun,country,Australia
Cold War,follows,World War II
Narayan Shyam,place of birth,Bombay Presidency
Frances Boardman Squire Potter,educated at,Elmira College
Valentin Abel,languages spoken written or signed,German
vulture bee,parent taxon,Trigona
implicature,opposite of,explicature
Locrine,form of creative work,play
The Duke,EIRIN film rating,G
Hierodoris squamea,original combination,Gymnobathra squamea
Xtreme Pro Wrestling,location of formation,Los Angeles
Percy Ellis,country of citizenship,Australia
Pat Martino,father,Carmen Azzara
Comcast,board member,Brian L. Roberts
Jack Drum's Entertainment,form of creative work,play
Naruto,characters,Tsunade
Richard Serra,collection creator,Museum of Modern Art
J.R. Carpenter,notable work,CityFish
Bloodborne,narrative location,Yharnam
Ukřižovaný z Třeboně,country,Bohemia
Erinna Lee,educated at,University of Melbourne
Lil Durk,family name,Banks
Melissa J. Moore,employer,Moderna
Carol Tyler,field of work,comics
Pākehā,indigenous to,New Zealand
Renato Silva,place of death,Rio de Janeiro
Ernestine Ygnacio-De Soto,mother,Mary Yee
Ben Higgins,spouse,Jessica Clarke
Oriental Guardian,headquarters location,Nanjing
Ring,has part,S
Nico Rosso,child,Valeria Rosso
Henry VI Part 1,form of creative work,play
Judith Colell,for work,Elisa K
Dragon,criterion used,landing
Young Dolph,family name,Thornton
Ana Ramacake,country of citizenship,Fiji
Justo Gallego Martínez,place of death,Mejorada del Campo
Keith Fleming,sibling,Frank Fleming
quotation marks,depicted by,»
Satomi Takano,sport,mixed martial arts
1990 Danone Hardcourt Championships,country,Australia
Pamela Snow,academic major,communication disorder
Vampire: The Masquerade - L.A. By Night,genre,actual play
Nystart Enköping,country,Sweden
Des Bethke,place of birth,Netherby
rhodocene,has part,rhodium
Cool Taxi,instance of,coupon
Barry Sadler,convicted of,voluntary manslaughter
DWIZ,country,Philippines
Rigveda,collection creator,Vyasa
Bristol,determination method,census
Andrea Klambauer,member of political party,NEOS – The New Austria
Józef Maria Bocheński,language of work or name,Italian
Narayan Shyam,place of death,India
Jang Hyuk-jin,native language,Korean
David Swing,place of burial,Rosehill Cemetery
Tamaru Domain,located in the administrative territorial entity,Ise Province
Anabarhynchus albipennis,type locality (biology),Lake Pukaki
Harlan Hoge Ballard,place of birth,Athens
Zapyrastra calliphana,host,Muehlenbeckia complexa
Sanada Taiheiki,genre,Jidaigeki
Ernestine Ygnacio-De Soto,languages spoken written or signed,Barbareño
murder of Kim Wall,published in,The Guardian
Ruben Altunyan,place of death,Armenia
Statuette of the lady Tiye,depicts,woman
Black-tailed Godwit,original combination,Scolopax limosa
Anti-Counterfeiting Trade Agreement,signatory,South Korea
Samuel Levi Jones,academic major,photography
Madhabi,language of work or name,Nepali
Hawkins' Rail,original combination,Aphanapteryx hawkinsi
Ebenezer Bailey,place of death,Boston
Reet Petite,composer,Billy Davis
Last Night in Soho,set in period,1960s
Harold Fowler McCormick,place of burial,Graceland Cemetery
Ming-Na Wen,for work,ER
Kennecott,criterion used,A
John Ridgway,field of work,comics
Gedeone Malagola,place of birth,São Paulo
Cornel West,doctoral advisor,Raymond Geuss
Harlan Hoge Ballard,father,Addison Ballard
Salle des Sports,sport,basketball
Wessyngton,criterion used,B
Organization of the Petroleum Exporting Countries,member of,Venezuela
Nikita Ridgeway,occupation,tattoo artist
Rigveda,given name,Atri
Guyon Espiner,father,Eric Espiner
Sinan Sandal,native language,Turkish
Jusuf Serang Kasim,languages spoken written or signed,Indonesian
Bohdan Levkiv,place of death,Ternopil
Pamela Snow,academic degree,graduate diploma
Palacio de los Deportes de Torrevieja,occupant,CB Torrevieja
Lay’s,industry,potato chip
Young Dolph,given name,Adolph
Sylvère Lotringer,academic major,literature
Monsters Inc.,characters,Randall Boggs
Padang Cement,country,Indonesia
Dark Waters,EIRIN film rating,G
1999 Liberal Democrats leadership election,candidate,Malcolm Bruce
Guy Dussaud,languages spoken written or signed,French
Manolis Hatzidakis,field of work,Post-Byzantine art
Sunao Tsuboi,place of death,Hiroshima
The Decision,form of creative work,play
Omnilingual,form of creative work,short story
Irrésistiblement,language of work or name,Italian
Hierodoris insignis,type locality (biology),Mount Arthur
Tom Stone,cast member,Chris William Martin
Dorothy Harriette Dunckley,occupation,make-up artist
Pratibha Singh,replaced by,Virbhadra Singh
Angels Flight,criterion used,C
Giovanni Dolfin,native language,Italian
Giovanni Colonnelli,languages spoken written or signed,Italian
Wichita,of,Sedgwick County
Philippine Idol,cast member,Heart Evangelista
Boze Hadleigh,place of birth,Syria
Agus Hamdani,languages spoken written or signed,Indonesian
Lorenzo Mora,sports discipline competed in,backstroke
spezzatino,country of origin,Italy
Judith Colell,residence,Sant Cugat del Vallès
Austin Metro,follows,Mini
I'm Not Ashamed,review score by,Rotten Tomatoes
Mikhail Sobolev,country of citizenship,Soviet Union
Oscar Dana Allen,place of death,Ashford
USS LST-274,conflict,World War II
tilde,depicted by,˜
Eric Wood,place of birth,British Columbia
Namdev Kamble,award received,Sahitya Akademi Award
Ardeshir Zahedi,place of death,Montreux
U.S. Route 27,located in the administrative territorial entity,Ohio
Popstars 2015,cast member,Miss Platnum
Ozzy Osbourne,located in the administrative territorial entity,Birmingham
Frank Farrar,spouse,Patricia Farrar
James Carson Brevoort,place of death,Brooklyn
John Mayer,unmarried partner,Minka Kelly
John Bard,child,Samuel Bard
Volkerak,inflows,Scheldt–Rhine Canal
Bradford Ripley Alden,father,Roger Alden
Melissa J. Moore,academic major,chemistry
John K. Singlaub,academic major,political science
Vasile Adamescu,medical condition,deafblindness
Nuestra Belleza Latina 2012,cast member,Giselle Blondet
Charles Berry,sport,rugby
Alfred Cowles Sr.,place of birth,Mantua
Elizabeth Weaver,sourcing circumstances,after
Edson Rontani,notable work,Ficção
phonograph,instance of,invention
Frederick Noronha,language of work or name,Konkani
Sergey Skolskiy,country of citizenship,Russia
Prince Andrew Romanov,place of death,Inverness
Ernst te Peerdt,student of,Eduard Bendemann
Zapyrastra calliphana,taxon range,Norfolk Island
Shin Megami Tensei V,developer,Atlus
No Regrets,cast member,Sheren Tang
Madeleine Scopello,languages spoken written or signed,French
Šefik Džaferović,replaced by,Milorad Dodik
Henri Hinrichsen,child,Walter Hinrichsen
Black Friday,facet of,Thanksgiving
Ed Sheeran,medical condition,COVID-19
Lady Annabel Goldsmith,family name,Vane-Tempest-Stewart
Microsoft Internet Explorer 6,software engine,MSHTML
Gennadi Muravin,employer,Russian Theatre
Zohrabbayovs' house,architect,Karbalayi Safikhan Karabakhi
Keio Academy of New York,chairperson,Motohiro Tsuchiya
Verma module,symbol represents,semisimple Lie algebra
SND,instance of,file format
The Queen of Black Magic,instance of,film
Sajha Puraskar,country,Nepal
Pride Fighting Championships,industry,mixed martial arts
Chie Nakane,place of death,Tokyo
Djed Spence,sibling,Karla-Simone Spence
Peter Buck,place of death,Danbury
Tor Eckhoff,location,Kongsberg
Benigno Aquino Sr.,second family name in Spanish name,Quiambao
Helgoland lighthouse,color,red
songket,copyright holder,Indonesia
Alex Hitz,place of birth,Atlanta
Frritt-Flacc,form of creative work,short story
Thirty Years' War,language of work or name,German
Eternals,narrative location,Amazon
Fernando Ikoma,place of birth,Martinópolis
Augusto Zweifel,languages spoken written or signed,Italian
Kaihan Ozcicek-Takagi,country for sport,Australia
Helgoland lighthouse,color,white
Victoire Jasmin,languages spoken written or signed,French
Rapunzel,intended public,child
Rusyns,native language,Slovak
Wessyngton,criterion used,A
The High Note,Kijkwijzer rating,AL
gin,named after,Jenever
William Stebbins Barnard,place of birth,Canton
Gonçalo Guedes,acquisition transaction,loan
Brooklyn Boy,author,Donald Margulies
Marguerite van Eeden,spouse,Danie du Toit
Hans Herrmann,student of,Christian Wilberg
Gennadi Muravin,publisher,Helsingin Sanomat
Georgiy Roedov,position held,ambassador of Russia to Kyrgyzstan
Hellevoetsluis Lighthouse,applies to part,tower
Justo Gallego Martínez,located in the administrative territorial entity,Mejorada del Campo
Joseph Yahalom,child,Asher Yahalom
Herbert Sigüenza,has works in the collection,Smithsonian American Art Museum
The Tale of Satampra Zeiros,form of creative work,short story
Nuremberg–Erfurt high-speed railway,continent,Europe
Dirty Hands,form of creative work,play
Yunomae Line,located in or next to body of water,Kuma River
Bob Gill,place of death,Brooklyn
Organization of the Petroleum Exporting Countries,member of,Saudi Arabia
Zuzu-Vető,has part,Lóránt Méhes Zuzu
Richard Friberg,position held,professor
Alana Alexander,educated at,Oregon State University
Daisy Romualdez,sibling,Blanca Gomez
Max Cleland,place of death,Atlanta
Best of the Worst,cast member,David Mitchell
John Lee Tae-seok,country of citizenship,South Korea
Bob Bondurant,place of death,Phoenix
Old Dominion Freight Line,located in the administrative territorial entity,Virginia
1999 Liberal Democrats leadership election,candidate,Charles Kennedy
post-quantum cryptography,uses,quantum computer
Ohio,direction relative to location,northwest
Judith Colell,educated at,University of Barcelona
Carolyn Walker-Diallo,academic degree,Master of Business Administration
Prichal,applies to part,docking
Markus Dohle,educated at,University of Karlsruhe
William E. Potts,academic degree,Bachelor of Science
Primaggio Mantovi,residence,Brazil
Matty Cash,country for sport,Poland
John Varley Roberts,instrument,organ
Clinton House (Ithaca),named after,DeWitt Clinton
Fixed-point lemma for normal functions,symbol represents,fixed point
Junshi,subclass of,seppuku
Zapyrastra calliphana,type locality (biology),Christchurch
Namdev Kamble,writing language,Marathi
Galerie Kornfeld,owned by,August Klipstein
Termux,distributed by,F-Droid
William Clayton,has written for,Brigham Young
Organization of the Petroleum Exporting Countries,member of,Gabon
1980 Egyptian Open,surface played on,clay court
Sirivennela Sitaramasastri,place of death,Secunderabad
Barry Flanagan,collection creator,Museum of Modern Art
William Stebbins Barnard,educated at,University of Jena
Suddenly Last Summer,form of creative work,play
Love's Labour's Lost,form of creative work,play
Tales of Common Insanity,form of creative work,play
Sara Sálamo,family name,Concepción
Bernard Morel,position held,president
Naruto,characters,Jiraiya
telecommunication,part of,Information and communication
Sveriges Television,business division,SVT
Dhanteras,taxonomic type,paksha
Rigveda,author,Rishi
A Sleep of Prisoners,author,Christopher Fry
Roy Rawlings,country of citizenship,Australia
Distantiella,stated in,Global Biodiversity Information Facility
Bossier City,applies to part,land
Henry VI Part 3,form of creative work,play
recorded history,instance of,narrative
Demi Lovato,applies to part,sex
Mirko Bajić,languages spoken written or signed,Serbian
Yonge Street,connects with,College Street
Galerie Kornfeld,owned by,Richard Gutekunst
Krasnodar,located in or next to body of water,Sea of Azov
Honoré Daumier,catalogue raisonné,The Daumier Register
87 Clockers,published in,Jump X
Portrait of Home,cast member,Chen Shucheng
Exposition Universelle of 1900,industry,history
Domenico De Sole,languages spoken written or signed,Italian
Antonio Escohotado,language of work or name,Spanish
Vic Naismith,given name,Victor
A. T. S. Sissons,employer,HM Factory Gretna
I Still Believe,EIRIN film rating,G
Gennadi Muravin,given name,Gennady
Don't You Want Me,composer,Philip Oakey
Naruto,characters,Sakura Haruno
South African Wars,has part,Second Boer War
Alfredo Casella,writing language,Italian
Jan Andersson,languages spoken written or signed,Swedish
Tex Williamsson,sport,ice hockey
Last Night in Soho,set in environment,nightclub
Giyosjon Boboev,sport,judo
Olive Stone,position held,professor
Anthony Smith,place of death,Albany
Allington Castle,significant event,slighting
Church of Jesus Christ of Latter Day Saints (Strangite),instance of,sect
Amalia Aguilar,second family name in Spanish name,Carriera
Latif Al Ani,country of citizenship,Iraq
Koray Çalışkan,employer,Parsons School of Design
Eivør Pálsdóttir,award received,Nordic Council Music Prize
Francis Sumner Merritt,place of death,Belfast
Unión de Rugby de Tucumán,affiliation,Argentine Rugby Union
Windows Internet Explorer 9,software engine,MSHTML
Rahbani brothers,has part,Assi Rahbani
The Hallo-Wiener,set during recurring event,Halloween
Grace Yia-Hei Kao,field of work,ethics
Wadjda,set in period,2000s
Death of a Salesman,form of creative work,play
Sriwati Masmundari,languages spoken written or signed,Indonesian
Grace Yia-Hei Kao,field of work,human rights
Charles E. Cheney,place of birth,New York
Goran Krivokapić,affiliation,Montenegrin Guitar Duo
Naruto,characters,Gaara
You Should Have Left,cast member,Amanda Seyfried
Transvaal Colony,language used,Dutch
Anti-Counterfeiting Trade Agreement,signatory,Australia
William Stebbins Barnard,employer,Oskaloosa College
Wenceslao Alpuche,place of death,Tekax
2014 ICC Women's World Twenty20,followed by,2016 ICC Women's World Twenty20
Brandenburg,direction relative to location,west
Mystery Case Files,developer,Elephant games
Beth,lyrics by,Stan Penridge
Raja Chari,astronaut mission,SpaceX Crew-3
Angelo Farrugia,replaces,Michael Frendo
Nick Rimando,spouse,Jacqui Little
Ernesto Botto,native language,Italian
PSIP Pemalang,country,Indonesia
USS LST-225,operator,United States Navy
University of Ottawa,language used,French
Abram Avdalimov,languages spoken written or signed,Russian
Jacob Riis Park,located in protected area,Gateway National Recreation Area
MTV Spit,cast member,Marracash
Tshitenge Lubabu,employer,Jeune Afrique
Auto da Barca do Inferno,form of creative work,play
Yang Yiwen,occupation,politician
Beth,composer,Peter Criss
Yonge Street,connects with,Bloor Street
Ayaka Furue,country of citizenship,Japan
Rosa 'Compassion',subclass of,hybrid tea rose
Zerdava,instance of,dog breed
Neutral Party,merged into,Liberal State Party
William Arthur,place of death,Newtonville
Dhaka High Court,country,Bangladesh
High Court of Justiciary,work location,Stirling
Dragon 2,has parts of the class,Cargo Dragon
Lu Jun Hong,educated at,Shanghai Theatre Academy
Kirkcudbright War Memorial,creator,George Henry Paulin
USS LST-388,operator,United States Navy
Proteodes melographa,type locality (biology),Mount Arthur
Homer,place of birth,Chios
William Stebbins Barnard,employer,United States Department of Agriculture
Richard Friberg,position held,assistant professor
Looped,form of creative work,play
Sílvia Vidal,award received,Piolet d'or
Reloliza Saimon,sport,athletics
Nightcrawler,enemy of,Mystique
Claudia Black,country,Australia
Guilford Dudley Bailey,place of death,Battle of Seven Pines
Preston Rabl,occupation,investment banker
Aimi Nouchi,country of citizenship,Japan
The Spanish Tragedy,form of creative work,play
Hawkeye,narrative location,New York City
J.R. Carpenter,for work,CityFish
Laura Ricciardi,academic degree,Juris Doctor
Anveshitha,cast member,Achyuth
bourrée,language of work or name,French
Örebro Municipality,significant event,boundary change
Narayan Shyam,place of birth,Sindh
Snail Mail,family name,Jordan
Gerome Kamrowski,collection creator,Museum of Modern Art
Erinna Lee,employer,WEHI
Malala Yousafzai,place of marriage,Birmingham
Hierodoris stellata,host,Astelia
Alden Richards,notable work,Victor Magtanggol
Journeyman,stated in,Rotten Tomatoes
Veniamin Romov,occupation,cartoonist
tobacco,subclass of,produce
Termux,use,terminal emulator
Gas Light,form of creative work,play
USS LST-314,operator,United States Navy
Eyal Golasa,country,Israel
Amelia Tonon,place of death,Padua
Idol Producer,presenter,Lay
Emily Maitlis,native language,Spanish
traffic light,instance of,device
James Firth,place of burial,Burngreave Cemetery
The Big Easy Casino,named after,Mardi Gras
Sanada Taiheiki,language of work or name,Japanese
The Slab Boys Trilogy,author,John Byrne
Alison Phipps,field of work,gender studies
U-Haul,parent organization,Amerco
Charles Revol-Tissot,languages spoken written or signed,French
Kinjal Dave,place of birth,Jesangpara
Shin Megami Tensei V,software engine,Unreal Engine 4
Squaxin Island,located in or next to body of water,Peale Passage
Chikaya Inoue,languages spoken written or signed,Japanese
Dastonbek Otabolaev,sport,karate
Mystery Case Files,platform,iOS
Termux,file format,APK
Female Saint of Homole,collection,Aleš South Bohemian Gallery
Gilberto Grácio,place of birth,Lisbon
Parasitaster or The Fawn,author,John Marston
Judithe Hernández,award received,Anonymous Was A Woman Award
rhodocene,object has role,ligand
Géza Kucsera,languages spoken written or signed,Serbian
2006 Liberal Democrats leadership election,candidate,Chris Huhne
A Number,form of creative work,play
1980 Egyptian Open,located in the administrative territorial entity,Cairo
1979 Egyptian Open,located in the administrative territorial entity,Cairo
Izz ad-Din al-Qassam Brigades,founded by,Yahya Ayyash
Mann,author,Leeladhwaj Thapa
Cueva de las Manos,located in or next to body of water,Pinturas River
Google Chrome,based on,Chromium
Goldwin Arthur Martin,place of death,Canada
Stanley William Hayter,collection creator,Museum of Modern Art
Edith Nesbit,founded by,Fabian Society
Chuanqiandian Cluster Miao,writing system,Pahawh Hmong
Virgil Abloh,owner of,Off-White
Béla Kovács,languages spoken written or signed,Hungarian
Gerumsmantel,country,Sweden
Vampire: The Masquerade - L.A. By Night,distribution format,Twitch
orotidine,inferred from,pyrimidine
Pukguksong-3,country of origin,North Korea
Special Forces Command,conflict,Operation Shah Euphrates
Rudolph M. Clay,work location,Indiana
